Gene,Methods where it appears,Biological relevance (dataset context),Relevance score
CD3E,Curated,T cell receptor complex marker,3.3426891619296564
KRT19,Curated,EMT Epithelial,2.32270689127006
COL1A1,Curated,ECM Fibroblast,2.3185714851729826
KRT18,Curated,EMT Epithelial,2.351611813081582
S100A1,Curated,High-ranking informative gene,1.171156837460442
COL1A2,Curated,ECM Fibroblast,2.2862574495127337
KRT8,Curated,EMT Epithelial,2.2672064403118024
CD2,Curated,High-ranking informative gene,2.148562107471012
SPARC,Curated,ECM Fibroblast,2.5454215271324903
DCN,Curated,ECM Fibroblast,2.053020136262008
CD24,Curated,High-ranking informative gene,1.4464942582883644
LUM,Curated,ECM Fibroblast,1.9812138148280551
CALD1,Curated,High-ranking informative gene,1.5977583279338998
SFRP2,Curated,High-ranking informative gene,1.10446973923072
SPOCK2,Curated,High-ranking informative gene,1.889349201444884
TYROBP,Curated,High-ranking informative gene,1.3556814103222172
CST7,Curated,High-ranking informative gene,1.9511167520976065
CD7,Curated,High-ranking informative gene,1.970302628567671
CD3D,Curated,T cell receptor complex marker,3.2018786695945494
SPARCL1,Curated,High-ranking informative gene,1.2029689538986186
IL7R,Curated,Immune other marker,2.934717129608764
MS4A1,Curated,B cell marker,2.356085650446944
NKG7,Curated,NK cytotoxic marker,2.885396754475445
CD69,Curated,Immune other marker,2.963343179338614
FCER1G,Curated,High-ranking informative gene,1.2739645420390986
CCDC80,Curated,High-ranking informative gene,1.1000948225485558
AIF1,Curated,High-ranking informative gene,1.1650260951830904
COL5A2,Curated,ECM Fibroblast,1.894722082067107
TM4SF1,Curated,High-ranking informative gene,1.260192045081689
BGN,Curated,High-ranking informative gene,1.3421475680403958
CD79A,Curated,B cell marker,2.155248335818868
LYZ,Curated,Immune other marker,2.73971932939552
APOE,Curated,High-ranking informative gene,1.6006922956599388
C1QB,Curated,High-ranking informative gene,1.164794233379602
C1QC,Curated,High-ranking informative gene,1.0815067161594336
C1QA,Curated,High-ranking informative gene,1.1230095562078577
THY1,Curated,ECM Fibroblast,1.8898350895271256
PLVAP,Curated,High-ranking informative gene,0.8326683771913499
TPM2,Curated,High-ranking informative gene,1.336670737016622
GZMA,Curated,High-ranking informative gene,1.633269564267286
CRYAB,Curated,High-ranking informative gene,1.305920686180352
IGKC,Curated,High-ranking informative gene,1.6798918778451053
FN1,Curated,EMT Epithelial,2.612603466260081
MLANA,Curated,High-ranking informative gene,0.9626953176617716
FABP4,Curated,High-ranking informative gene,0.9427689620763426
VWF,Curated,Hypoxia Angiogenesis,1.6573924668342936
GZMK,Curated,NK cytotoxic marker,2.5335973947914643
GZMB,Curated,NK cytotoxic marker,3.585026215768085
CD8A,Curated,Immune other marker,2.6103733239653075
IGFBP5,Curated,High-ranking informative gene,1.1969593311030315
JCHAIN,Curated,High-ranking informative gene,1.0155547324122591
AEBP1,Curated,High-ranking informative gene,1.238057310215857
VCAN,Curated,High-ranking informative gene,1.1843556293039246
CTHRC1,Curated,High-ranking informative gene,1.218791854919146
MS4A6A,Curated,High-ranking informative gene,1.0741857846176002
APOD,Curated,High-ranking informative gene,1.414982700913352
COL5A1,Curated,ECM Fibroblast,1.8083320722103744
CXCL12,Curated,Chemokine,2.292611070911416
CLDN5,Curated,High-ranking informative gene,0.7992026732581137
TIMP3,Curated,ECM Fibroblast,2.159294985110776
ASPN,Curated,High-ranking informative gene,0.8984575550521977
DPT,Curated,High-ranking informative gene,0.8640169480489239
ADIRF,Curated,High-ranking informative gene,1.2963412073319964
C1S,Curated,High-ranking informative gene,1.2277702157903445
KRT5,Curated,EMT Epithelial,1.6375086779999335
SFRP4,Curated,High-ranking informative gene,0.8641567648805111
RAMP2,Curated,High-ranking informative gene,0.9838835606430812
CXCL14,Curated,High-ranking informative gene,1.079003461576141
MMP11,Curated,ECM Fibroblast,1.7844778729958086
IGLC2,Curated,High-ranking informative gene,1.623573732529742
ACKR1,Curated,High-ranking informative gene,0.7759020691420105
CLU,Curated,High-ranking informative gene,1.44769494599558
COL4A1,Curated,ECM Fibroblast,1.818896955207572
ADGRL4,Curated,High-ranking informative gene,0.7923617912735661
CLEC14A,Curated,High-ranking informative gene,0.7947546368345593
TNFRSF4,Curated,TNFR superfamily,2.458645575169264
CXCL8,Curated,Chemokine,2.178234093256896
SPP1,Curated,Immune other marker,2.616663879904319
NDUFA4L2,Curated,High-ranking informative gene,0.9775703784806394
CD36,Curated,High-ranking informative gene,0.9410118761538576
APOC1,Curated,High-ranking informative gene,1.2949724639070082
TYRP1,Curated,High-ranking informative gene,1.1304795540801658
A2M,Curated,High-ranking informative gene,1.4552728141380449
IGLL5,Curated,High-ranking informative gene,1.1758475230916996
FCGR3A,Curated,Mono Macrophage marker,2.2103074152473963
TIGIT,Curated,Immune other marker,3.680406868251266
CAVIN2,Curated,High-ranking informative gene,0.7619836767397572
S100A9,Curated,Neutrophil MDSC marker,2.4323973821835003
COL10A1,Curated,ECM Fibroblast,1.6430450956310827
CD68,Curated,High-ranking informative gene,1.2849757556253154
ALB,Curated,High-ranking informative gene,0.8866724707975165
IGF2,Curated,High-ranking informative gene,0.9942592438583024
RGS5,Curated,Vasculature,1.9032626229823568
IL1B,Curated,Cytokine,2.1638026766427494
G0S2,Curated,High-ranking informative gene,0.8988144349133709
IGF1,Curated,High-ranking informative gene,0.8949764028132727
S100A8,Curated,Neutrophil MDSC marker,2.152817934185108
CCL2,Curated,Chemokine,2.307081734348952
CILP,Curated,High-ranking informative gene,0.7982437615266708
PTGDS,Curated,High-ranking informative gene,0.9820088524334648
MMP9,Curated,ECM Fibroblast,1.7134166962217856
COMP,Curated,High-ranking informative gene,0.784026782691831
TTR,Curated,High-ranking informative gene,0.7530876540518272
RAMP3,Curated,High-ranking informative gene,0.8137931979429407
AMBP,Curated,High-ranking informative gene,0.741947407765779
RBP7,Curated,High-ranking informative gene,0.8982554743389132
IGFBP3,Curated,High-ranking informative gene,1.0756560280367249
RARRES1,Curated,High-ranking informative gene,0.97777469511596
LINC01320,Curated,High-ranking informative gene,0.716668477954741
SRGN,Curated,High-ranking informative gene,2.9856113124061343
LAPTM5,Curated,High-ranking informative gene,2.698690163385289
TMSB4X,Curated,High-ranking informative gene,4.721863420801938
CD74,Curated,Immune other marker,5.0
CORO1A,Curated,High-ranking informative gene,2.490774477755261
COL6A2,Curated,ECM Fibroblast,2.059845568848496
S100A4,Curated,High-ranking informative gene,3.0200812247335267
CD52,Curated,High-ranking informative gene,2.468767911027013
COL6A1,Curated,ECM Fibroblast,2.0168046561844992
CXCR4,Curated,Chemokine receptor,3.710931637312208
IL32,Curated,Cytokine,3.918452182454628
RACK1,Curated,High-ranking informative gene,3.388760169854804
IGFBP7,Curated,High-ranking informative gene,1.4722263088666518
AZGP1,Curated,High-ranking informative gene,1.1007037358329643
COL6A3,Curated,ECM Fibroblast,2.1921276552804896
KRT7,Curated,EMT Epithelial,1.917208573751336
IGFBP4,Curated,High-ranking informative gene,1.5284080870271517
CST3,Curated,High-ranking informative gene,2.268680482012428
S100A14,Curated,High-ranking informative gene,1.015530909905987
TRBC2,Curated,T cell receptor complex marker,3.1360723363971434
RARRES2,Curated,High-ranking informative gene,1.106057786696938
MGP,Curated,High-ranking informative gene,1.9426924928953937
TSC22D3,Curated,High-ranking informative gene,2.8610915414935443
HLA-DRB5,Curated,High-ranking informative gene,2.0697189658138297
S100B,Curated,High-ranking informative gene,1.093396836985127
