ensg,symbol,HVG_rank,HVG_normrank,HVG_normscore,DE_Immune_rank,DE_Immune_normrank,DE_Immune_normscore,DE_Malignant_rank,DE_Malignant_normrank,DE_Malignant_normscore,SpaPROS_rank,SpaPROS_normrank,SpaPROS_normscore,scGeneFit_rank,scGeneFit_normrank,scGeneFit_normscore,RF_celltype_rank,RF_celltype_normrank,RF_celltype_normscore,RF_malignant_rank,RF_malignant_normrank,RF_malignant_normscore,n_methods,mean_normrank,mean_normscore,aggregate_score
ENSG00000198851,CD3E,747.0,0.5839375348577802,0.8894519269235898,3.0,0.9995614996711247,0.7649455502286373,22.0,0.9981913702523469,0.7354393943270199,111.0,0.9633211070356785,,732.0,0.7562520840280094,1.0,3.0,0.997997997997998,0.7488796577881529,56.0,0.9081803005008348,0.17131824174835644,7,0.8867774134776818,0.7183391285026262,15.605116541980307
ENSG00000171345,KRT19,152.0,0.9157836029001674,0.9774903320442726,176.0,0.9616312212234159,0.29479738729116156,7.0,0.9994832486435277,0.720469403073292,14.0,0.9956652217405801,0.2202325113641456,692.0,0.7695898632877626,1.0,29.0,0.9719719719719719,0.39270808465033946,4.0,0.994991652754591,0.9581199205797681,7,0.9441595403602882,0.6519739484289971,15.596133488789286
ENSG00000108821,COL1A1,7.0,0.9966536530953709,0.9986931590878784,2.0,0.9997807498355624,0.9797610079703384,1192.0,0.8974248557402463,0.05841995542729871,2.0,0.9996665555185061,0.8756975481577002,489.0,0.8372790930310103,1.0,32.0,0.968968968968969,0.3813952462462871,40.0,0.9348914858096828,0.2133288480700378,7,0.9478093374284783,0.6438993949942201,15.591708732422697
ENSG00000111057,KRT18,833.0,0.535973229224763,0.8789438591812242,201.0,0.9561499671124754,0.289274108759139,5.0,0.9996554990956851,0.7366790280172228,131.0,0.956652217405802,,666.0,0.7782594198066022,1.0,42.0,0.958958958958959,0.3292688358896289,5.0,0.993322203672788,0.8211471475818293,7,0.8827102136110108,0.6758854965715074,15.558595710182518
ENSG00000160678,S100A1,437.0,0.7568321249302844,0.9341778903853847,780.0,0.8292041219030915,0.025285503277305995,23.0,0.9981052450262682,0.5705887861807929,118.0,0.9609869956652217,,92.0,0.9696565521840613,1.0,49.0,0.9519519519519519,0.3075614660498581,3.0,0.996661101836394,0.9642364929954969,7,0.9233425847853248,0.6336416898148064,15.556984274600131
ENSG00000164692,COL1A2,12.0,0.9938650306748467,0.9975196692892385,1.0,1.0,1.0,1374.0,0.8817500645939196,0.04359754695279433,113.0,0.9626542180726909,,465.0,0.8452817605868623,1.0,46.0,0.954954954954955,0.32436015430103493,63.0,0.8964941569282137,0.1489722474240297,7,0.9335714551159268,0.5857416029945163,15.519313058110443
ENSG00000170421,KRT8,936.0,0.4785276073619632,0.8641152153620483,151.0,0.9671124753343565,0.30303710925309085,4.0,0.9997416243217638,0.7379701075936036,154.0,0.9489829943314438,,667.0,0.7779259753251084,1.0,94.0,0.9069069069069069,0.21776435379555864,7.0,0.989983305509182,0.699258695069992,7,0.867025841298675,0.6370242468457156,15.50405008814439
ENSG00000116824,CD2,872.0,0.5142219743446736,0.8728630484064541,6.0,0.9989037491778119,0.6081024362922783,34.0,0.9971578675394023,0.6816406884828318,23.0,0.9926642214071357,0.11738895620493763,418.0,0.8609536512170723,1.0,7.0,0.993993993993994,0.618743499678442,32.0,0.9482470784641068,0.271145128714825,7,0.9008775051634567,0.5956976796828242,15.496575184846282
ENSG00000113140,SPARC,41.0,0.9776910206358059,0.9935724763301773,4.0,0.9993422495066872,0.9471383373334348,5382.0,0.536560158470416,0.09870293659791578,121.0,0.9599866622207403,,254.0,0.9156385461820606,1.0,40.0,0.960960960960961,0.3407553963407347,41.0,0.9332220367278798,0.21147973499762304,7,0.897628804957793,0.5986081469333143,15.496236951891108
ENSG00000011465,DCN,51.0,0.9721137757947574,0.9920522736364848,7.0,0.9986844990133743,0.8948883113219236,944.0,0.9187839118077685,0.08911564119087902,129.0,0.9573191063687896,,457.0,0.847949316438813,1.0,59.0,0.9419419419419419,0.28547366472623675,76.0,0.8747913188647747,0.12464093156776533,7,0.9302262671757456,0.5643618037405483,15.494588070916294
