tissue	cell_type	n
breast	fibroblast	35343
breast	T cell	70344
breast	mast cell	788
breast	endothelial cell	11716
breast	microglial cell	0
breast	melanocyte	0
breast	myofibroblast cell	0
breast	macrophage	0
breast	B cell	11835
breast	dendritic cell	0
breast	lymphocyte	0
breast	monocyte	0
breast	CD4-positive, alpha-beta T cell	0
breast	CD8-positive, alpha-beta T cell	0
breast	myeloid cell	22492
breast	plasma cell	0
breast	mature NK T cell	0
breast	regulatory T cell	0
breast	hematopoietic multipotent progenitor cell	0
breast	naive T cell	0
breast	T-helper 17 cell	0
breast	naive thymus-derived CD8-positive, alpha-beta T cell	0
breast	central memory CD8-positive, alpha-beta T cell	0
breast	CD8-positive, CD28-negative, alpha-beta regulatory T cell	0
breast	activated CD8-positive, alpha-beta T cell, human	0
breast	effector CD8-positive, alpha-beta T cell	0
breast	plasmacytoid dendritic cell, human	644
breast	malignant cell	63536
breast	T follicular helper cell	0
breast	epithelial cell of thymus	0
breast	unknown	0
brain	fibroblast	0
brain	T cell	5700
brain	mast cell	0
brain	endothelial cell	0
brain	microglial cell	37
brain	melanocyte	0
brain	myofibroblast cell	0
brain	macrophage	0
brain	B cell	50
brain	dendritic cell	0
brain	lymphocyte	0
brain	monocyte	118
brain	CD4-positive, alpha-beta T cell	0
brain	CD8-positive, alpha-beta T cell	0
brain	myeloid cell	0
brain	plasma cell	0
brain	mature NK T cell	0
brain	regulatory T cell	0
brain	hematopoietic multipotent progenitor cell	0
brain	naive T cell	0
brain	T-helper 17 cell	0
brain	naive thymus-derived CD8-positive, alpha-beta T cell	0
brain	central memory CD8-positive, alpha-beta T cell	0
brain	CD8-positive, CD28-negative, alpha-beta regulatory T cell	0
brain	activated CD8-positive, alpha-beta T cell, human	0
brain	effector CD8-positive, alpha-beta T cell	0
brain	plasmacytoid dendritic cell, human	0
brain	malignant cell	4990
brain	T follicular helper cell	0
brain	epithelial cell of thymus	0
brain	unknown	0
skin of neck	fibroblast	249
skin of neck	T cell	101
skin of neck	mast cell	0
skin of neck	endothelial cell	135
skin of neck	microglial cell	0
skin of neck	melanocyte	54
