gene_symbol	category_major	category_minor
CD3E	Immune_lineage_state	T_cell_receptor_complex
KRT19	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
COL1A1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
KRT18	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
S100A1	Other	Other
COL1A2	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
KRT8	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
CD2	Other	Other
SPARC	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
DCN	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
CD24	Other	Other
LUM	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
CALD1	Other	Other
SFRP2	Other	Other
SPOCK2	Other	Other
TYROBP	Other	Other
CST7	Other	Other
CD7	Other	Other
CD3D	Immune_lineage_state	T_cell_receptor_complex
SPARCL1	Other	Other
IL7R	Immune_lineage_state	Immune_other
MS4A1	Immune_lineage_state	B_cell
NKG7	Immune_lineage_state	NK_cytotoxic
CD69	Immune_lineage_state	Immune_other
FCER1G	Other	Other
CCDC80	Other	Other
AIF1	Other	Other
COL5A2	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
TM4SF1	Other	Other
BGN	Other	Other
CD79A	Immune_lineage_state	B_cell
LYZ	Immune_lineage_state	Immune_other
APOE	Other	Other
C1QB	Other	Other
MT-RNR1	Other	Other
C1QC	Other	Other
C1QA	Other	Other
THY1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
PLVAP	Other	Other
TPM2	Other	Other
GZMA	Other	Other
CRYAB	Other	Other
IGKC	Other	Other
FN1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
MLANA	Other	Other
FABP4	Other	Other
VWF	Hypoxia_Angiogenesis_EMT_ECM_Vascular	Hypoxia_Angiogenesis
GZMK	Immune_lineage_state	NK_cytotoxic
GZMB	Immune_lineage_state	NK_cytotoxic
CD8A	Immune_lineage_state	Immune_other
IGFBP5	Other	Other
JCHAIN	Other	Other
AEBP1	Other	Other
VCAN	Other	Other
CTHRC1	Other	Other
MS4A6A	Other	Other
APOD	Other	Other
COL5A1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
CXCL12	Cytokines_Chemokines_Checkpoints	Chemokine
CLDN5	Other	Other
TIMP3	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
ASPN	Other	Other
DPT	Other	Other
ADIRF	Other	Other
C1S	Other	Other
KRT5	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
SFRP4	Other	Other
RAMP2	Other	Other
CXCL14	Other	Other
MMP11	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
IGLC2	Other	Other
ACKR1	Other	Other
CLU	Other	Other
COL4A1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
ADGRL4	Other	Other
CLEC14A	Other	Other
TNFRSF4	Cytokines_Chemokines_Checkpoints	TNFR_superfamily
CXCL8	Cytokines_Chemokines_Checkpoints	Chemokine
SPP1	Immune_lineage_state	Immune_other
NDUFA4L2	Other	Other
CD36	Other	Other
APOC1	Other	Other
TYRP1	Other	Other
A2M	Other	Other
IGLL5	Other	Other
FCGR3A	Immune_lineage_state	Mono_Macrophage
TIGIT	Immune_lineage_state	Immune_other
IGLC3	Other	Other
CAVIN2	Other	Other
S100A9	Immune_lineage_state	Neutrophil_MDSC
COL10A1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
CD68	Other	Other
ALB	Other	Other
IGF2	Other	Other
RGS5	Hypoxia_Angiogenesis_EMT_ECM_Vascular	Vasculature
IL1B	Cytokines_Chemokines_Checkpoints	Cytokine
G0S2	Other	Other
IGF1	Other	Other
S100A8	Immune_lineage_state	Neutrophil_MDSC
CCL2	Cytokines_Chemokines_Checkpoints	Chemokine
CILP	Other	Other
PTGDS	Other	Other
MMP9	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
COMP	Other	Other
TTR	Other	Other
RAMP3	Other	Other
AMBP	Other	Other
RBP7	Other	Other
IGFBP3	Other	Other
RARRES1	Other	Other
LINC01320	Other	Other
SRGN	Other	Other
LAPTM5	Other	Other
TMSB4X	Other	Other
CD74	Immune_lineage_state	Immune_other
CORO1A	Other	Other
COL6A2	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
S100A4	Other	Other
CD52	Other	Other
COL6A1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
CXCR4	Cytokines_Chemokines_Checkpoints	Chemokine_receptor
IL32	Cytokines_Chemokines_Checkpoints	Cytokine
RACK1	Other	Other
IGFBP7	Other	Other
AZGP1	Other	Other
COL6A3	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
KRT7	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
IGFBP4	Other	Other
CST3	Other	Other
MT-RNR2	Other	Other
S100A14	Other	Other
TRBC2	Immune_lineage_state	T_cell_receptor_complex
RARRES2	Other	Other
MGP	Other	Other
TSC22D3	Other	Other
HLA-DRB5	Other	Other
S100B	Other	Other
MMP2	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
LCK	Other	Other
IFITM1	Other	Other
RGS1	Other	Other
BTG1	Other	Other
ATP5F1E	Other	Other
TRAC	Immune_lineage_state	T_cell_receptor_complex
CTSK	Other	Other
ZFP36L2	Other	Other
PMEL	Other	Other
KRT15	Malignant_lineage	Epithelial_malignant
ZFP36	Other	Other
SLPI	Other	Other
GIMAP7	Other	Other
MDK	Other	Other
MYL9	Other	Other
DUSP2	Other	Other
POSTN	Other	Other
TFF3	Other	Other
SERPINE2	Other	Other
TIMP1	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
LTB	Other	Other
RNASE1	Other	Other
MFAP4	Other	Other
KRT14	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
JUNB	CellCycle_DDR_Stress	Stress_Senescence
IFITM3	Other	Other
ACTA2	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
CD27	Immune_lineage_state	Immune_other
TAGLN	Hypoxia_Angiogenesis_EMT_ECM_Vascular	ECM_Fibroblast
CREM	Other	Other
AQP1	Other	Other
DCT	Other	Other
CRABP1	Other	Other
KRT17	Hypoxia_Angiogenesis_EMT_ECM_Vascular	EMT_Epithelial
TXNIP	Other	Other
