gene_symbol,ensembl_id_x,category_major,category_minor,methods_present,aggregate_rank,aggregate_score,bio_relevance_score_0to5,rationale_short,spatial_suitability,pct_expr,mean_expr,gini_proxy,ensembl_id_y,aggregate_score_y,DE_Immune,DE_Malignant,HVG,SpaPROS,scGeneFit,RandomForest,methods_count
CD3E,ENSG00000198851,Immune_lineage_state,T_cell_receptor_complex,,1.0,15.605116541980308,3.3426891619296564,T cell receptor complex marker,Yes,39.3132569723634,0.8933134985612495,0.2099527055299931,ENSG00000198851,15.605116541980308,0,0,0,0,0,0,0
KRT19,ENSG00000171345,Hypoxia_Angiogenesis_EMT_ECM_Vascular,EMT_Epithelial,,2.0,15.596133488789286,2.32270689127006,EMT Epithelial,Yes,19.52542696682877,0.5048772451184391,0.6687406515238796,ENSG00000171345,15.596133488789286,0,0,0,0,0,0,0
COL1A1,ENSG00000108821,Hypoxia_Angiogenesis_EMT_ECM_Vascular,ECM_Fibroblast,,3.0,15.591708732422696,2.3185714851729826,ECM Fibroblast,Yes,18.776145484785403,0.5863977806392813,0.6095148018502584,ENSG00000108821,15.591708732422696,0,0,0,0,0,0,0
KRT18,ENSG00000111057,Hypoxia_Angiogenesis_EMT_ECM_Vascular,EMT_Epithelial,,4.0,15.558595710182518,2.351611813081582,EMT Epithelial,Yes,18.330566020773105,0.3647726834350473,3.547752230070377,ENSG00000111057,15.558595710182518,0,0,0,0,0,0,0
S100A1,ENSG00000160678,Other,Other,,5.0,15.556984274600133,1.171156837460442,High-ranking informative gene,Yes,12.126447922548962,0.2655631309309582,0.3015643291499466,ENSG00000160678,15.556984274600133,0,0,0,0,0,0,0
COL1A2,ENSG00000164692,Hypoxia_Angiogenesis_EMT_ECM_Vascular,ECM_Fibroblast,,6.0,15.519313058110445,2.2862574495127337,ECM Fibroblast,Yes,18.136994614275963,0.5637889049425591,0.5657890803491661,ENSG00000164692,15.519313058110445,0,0,0,0,0,0,0
KRT8,ENSG00000170421,Hypoxia_Angiogenesis_EMT_ECM_Vascular,EMT_Epithelial,,7.0,15.50405008814439,2.2672064403118024,EMT Epithelial,Yes,18.57892178759964,0.3536348585656794,1.2596738350527348,ENSG00000170421,15.50405008814439,0,0,0,0,0,0,0
CD2,ENSG00000116824,Other,Other,,8.0,15.496575184846282,2.148562107471012,High-ranking informative gene,Yes,36.34085424269753,0.7938772569881788,1.1502027245477464,ENSG00000116824,15.496575184846282,0,0,0,0,0,0,0
SPARC,ENSG00000113140,Hypoxia_Angiogenesis_EMT_ECM_Vascular,ECM_Fibroblast,,9.0,15.496236951891108,2.5454215271324903,ECM Fibroblast,Yes,24.24783882722137,0.6750431640269136,1.2814913582664325,ENSG00000113140,15.496236951891108,0,0,0,0,0,0,0
DCN,ENSG00000011465,Hypoxia_Angiogenesis_EMT_ECM_Vascular,ECM_Fibroblast,,10.0,15.494588070916294,2.053020136262008,ECM Fibroblast,Yes,12.438297358270049,0.3673223298051314,0.8621686177740873,ENSG00000011465,15.494588070916294,0,0,0,0,0,0,0
CD24,ENSG00000272398,Other,Other,,11.0,15.479162279825148,1.4464942582883644,High-ranking informative gene,Yes,18.40445467085837,0.3786998767897993,1.3468394988786727,ENSG00000272398,15.479162279825148,0,0,0,0,0,0,0
LUM,ENSG00000139329,Hypoxia_Angiogenesis_EMT_ECM_Vascular,ECM_Fibroblast,,12.0,15.463328458554969,1.9812138148280551,ECM Fibroblast,Yes,10.65007964803155,0.3173999995834036,0.9316310005399402,ENSG00000139329,15.463328458554969,0,0,0,0,0,0,0
CALD1,ENSG00000122786,Other,Other,,13.0,15.459251026767006,1.5977583279338998,High-ranking informative gene,Yes,23.149904057133057,0.4874515870416555,0.42491922355637,ENSG00000122786,15.459251026767006,0,0,0,0,0,0,0
SFRP2,ENSG00000145423,Other,Other,,14.0,15.449561343080497,1.10446973923072,High-ranking informative gene,Yes,9.751335193192132,0.289539679020744,0.5538700227917269,ENSG00000145423,15.449561343080497,0,0,0,0,0,0,0
SPOCK2,ENSG00000107742,Other,Other,,15.0,15.414723175292211,1.889349201444884,High-ranking informative gene,Yes,30.37750638448506,0.5981373839839565,1.0539304486360863,ENSG00000107742,15.414723175292211,0,0,0,0,0,0,0
TYROBP,ENSG00000011600,Other,Other,,16.0,15.413512555070918,1.3556814103222172,High-ranking informative gene,Yes,16.03158950500223,0.4503006710285699,0.5611909868978089,ENSG00000011600,15.413512555070918,0,0,0,0,0,0,0
CST7,ENSG00000077984,Other,Other,,17.0,15.406160659972445,1.9511167520976065,High-ranking informative gene,Yes,31.320359273025588,0.699609699940076,1.116800886139251,ENSG00000077984,15.406160659972445,0,0,0,0,0,0,0
CD7,ENSG00000173762,Other,Other,,18.0,15.402507806769332,1.970302628567671,High-ranking informative gene,Yes,32.58798508741617,0.7605211992945164,0.0743104720338504,ENSG00000173762,15.402507806769332,0,0,0,0,0,0,0
CD3D,ENSG00000167286,Immune_lineage_state,T_cell_receptor_complex,,19.0,15.393940357636724,3.2018786695945494,T cell receptor complex marker,Yes,35.48509443980885,0.7510637967115755,1.1275225833463631,ENSG00000167286,15.393940357636724,0,0,0,0,0,0,0
SPARCL1,ENSG00000152583,Other,Other,,20.0,15.383683380315093,1.2029689538986186,High-ranking informative gene,Yes,12.63495916458065,0.3080469337248983,0.5820642086484822,ENSG00000152583,15.383683380315093,0,0,0,0,0,0,0
IL7R,ENSG00000168685,Immune_lineage_state,Immune_other,,21.0,15.369173074480289,2.934717129608764,Immune other marker,Yes,27.78606566818658,0.6543683578318499,1.5256034983158708,ENSG00000168685,15.369173074480289,0,0,0,0,0,0,0
MS4A1,ENSG00000156738,Immune_lineage_state,B_cell,,22.0,15.36614478473307,2.356085650446944,B cell marker,Yes,5.622561042419946,0.1387723663188362,9.359816697028124,ENSG00000156738,15.36614478473307,0,0,0,0,0,0,0
NKG7,ENSG00000105374,Immune_lineage_state,NK_cytotoxic,,23.0,15.364405454047708,2.885396754475445,NK cytotoxic marker,Yes,25.286213164541323,0.6719288548976122,2.271381522233317,ENSG00000105374,15.364405454047708,0,0,0,0,0,0,0
CD69,ENSG00000110848,Immune_lineage_state,Immune_other,,24.0,15.357132271874672,2.963343179338614,Immune other marker,Yes,28.67357230552254,0.5755009860067001,2.108095263054917,ENSG00000110848,15.357132271874672,0,0,0,0,0,0,0
FCER1G,ENSG00000158869,Other,Other,,25.0,15.346928704715744,1.2739645420390986,High-ranking informative gene,Yes,13.816896620507336,0.3345416210230983,1.2694494972128487,ENSG00000158869,15.346928704715744,0,0,0,0,0,0,0
CCDC80,ENSG00000091986,Other,Other,,26.0,15.340373425602792,1.1000948225485558,High-ranking informative gene,Yes,10.652608156969832,0.2241493617949959,0.2693540745885758,ENSG00000091986,15.340373425602792,0,0,0,0,0,0,0
AIF1,ENSG00000204472,Other,Other,,27.0,15.33341411756538,1.1650260951830904,High-ranking informative gene,Yes,12.03345498270781,0.265470140735466,0.4803827838568467,ENSG00000204472,15.33341411756538,0,0,0,0,0,0,0
COL5A2,ENSG00000204262,Hypoxia_Angiogenesis_EMT_ECM_Vascular,ECM_Fibroblast,,28.0,15.32341912709584,1.894722082067107,ECM Fibroblast,Yes,9.980586670262769,0.2087156587130677,0.2072424914910551,ENSG00000204262,15.32341912709584,0,0,0,0,0,0,0
TM4SF1,ENSG00000169908,Other,Other,,29.0,15.322314976430183,1.260192045081689,High-ranking informative gene,Yes,14.433571856009848,0.2782090701659236,0.8195346128345012,ENSG00000169908,15.322314976430183,0,0,0,0,0,0,0
BGN,ENSG00000182492,Other,Other,,30.0,15.320329805985192,1.3421475680403958,High-ranking informative gene,Yes,15.98523350780046,0.376582980979717,0.9006870687291848,ENSG00000182492,15.320329805985192,0,0,0,0,0,0,0
CD79A,ENSG00000105369,Immune_lineage_state,B_cell,,31.0,15.30883167998898,2.155248335818868,B cell marker,Yes,6.876982421243966,0.1486545039298807,2.9864002314875457,ENSG00000105369,15.30883167998898,0,0,0,0,0,0,0
LYZ,ENSG00000090382,Immune_lineage_state,Immune_other,,32.0,15.279961973037706,2.73971932939552,Immune other marker,Yes,14.179878125869166,0.2909275629146453,10.995840332809086,ENSG00000090382,15.279961973037706,0,0,0,0,0,0,0
APOE,ENSG00000130203,Other,Other,,33.0,15.27931620316364,1.6006922956599388,High-ranking informative gene,Yes,22.0342697244768,0.5648777496521624,1.1025366766430449,ENSG00000130203,15.27931620316364,0,0,0,0,0,0,0
C1QB,ENSG00000173369,Other,Other,,34.0,15.275656029284134,1.164794233379602,High-ranking informative gene,Yes,10.075265282729449,0.2685625689195388,2.2156132333431646,ENSG00000173369,15.275656029284134,0,0,0,0,0,0,0
MT-RNR1,,Other,Other,,,15.266204400067515,,,,,,,,,0,0,0,0,0,0,0
C1QC,ENSG00000159189,Other,Other,,36.0,15.26432501817209,1.0815067161594336,High-ranking informative gene,Yes,9.149550065881712,0.2468413499587506,1.0032285107915624,ENSG00000159189,15.26432501817209,0,0,0,0,0,0,0
C1QA,ENSG00000173372,Other,Other,,37.0,15.263852154890897,1.1230095562078577,High-ranking informative gene,Yes,10.023009431338338,0.2605871857998136,1.2354702157999595,ENSG00000173372,15.263852154890897,0,0,0,0,0,0,0
