gene_symbol,DE_Immune,DE_Malignant,HVG,SpaPROS,scGeneFit,RandomForest,methods_count
CD3E,0,0,0,0,0,0,0
KRT19,0,0,0,0,0,0,0
COL1A1,0,0,0,0,0,0,0
KRT18,0,0,0,0,0,0,0
S100A1,0,0,0,0,0,0,0
COL1A2,0,0,0,0,0,0,0
KRT8,0,0,0,0,0,0,0
CD2,0,0,0,0,0,0,0
SPARC,0,0,0,0,0,0,0
DCN,0,0,0,0,0,0,0
CD24,0,0,0,0,0,0,0
LUM,0,0,0,0,0,0,0
CALD1,0,0,0,0,0,0,0
SFRP2,0,0,0,0,0,0,0
SPOCK2,0,0,0,0,0,0,0
TYROBP,0,0,0,0,0,0,0
CST7,0,0,0,0,0,0,0
CD7,0,0,0,0,0,0,0
CD3D,0,0,0,0,0,0,0
SPARCL1,0,0,0,0,0,0,0
IL7R,0,0,0,0,0,0,0
MS4A1,0,0,0,0,0,0,0
NKG7,0,0,0,0,0,0,0
CD69,0,0,0,0,0,0,0
FCER1G,0,0,0,0,0,0,0
CCDC80,0,0,0,0,0,0,0
AIF1,0,0,0,0,0,0,0
COL5A2,0,0,0,0,0,0,0
TM4SF1,0,0,0,0,0,0,0
BGN,0,0,0,0,0,0,0
CD79A,0,0,0,0,0,0,0
LYZ,0,0,0,0,0,0,0
APOE,0,0,0,0,0,0,0
C1QB,0,0,0,0,0,0,0
MT-RNR1,0,0,0,0,0,0,0
C1QC,0,0,0,0,0,0,0
C1QA,0,0,0,0,0,0,0
THY1,0,0,0,0,0,0,0
PLVAP,0,0,0,0,0,0,0
TPM2,0,0,0,0,0,0,0
GZMA,0,0,0,0,0,0,0
CRYAB,0,0,0,0,0,0,0
IGKC,0,0,0,0,0,0,0
FN1,0,0,0,0,0,0,0
MLANA,0,0,0,0,0,0,0
FABP4,0,0,0,0,0,0,0
VWF,0,0,0,0,0,0,0
GZMK,0,0,0,0,0,0,0
GZMB,0,0,0,0,0,0,0
CD8A,0,0,0,0,0,0,0
IGFBP5,0,0,0,0,0,0,0
JCHAIN,0,0,0,0,0,0,0
AEBP1,0,0,0,0,0,0,0
VCAN,0,0,0,0,0,0,0
CTHRC1,0,0,0,0,0,0,0
MS4A6A,0,0,0,0,0,0,0
APOD,0,0,0,0,0,0,0
COL5A1,0,0,0,0,0,0,0
CXCL12,0,0,0,0,0,0,0
CLDN5,0,0,0,0,0,0,0
TIMP3,0,0,0,0,0,0,0
ASPN,0,0,0,0,0,0,0
DPT,0,0,0,0,0,0,0
ADIRF,0,0,0,0,0,0,0
C1S,0,0,0,0,0,0,0
KRT5,0,0,0,0,0,0,0
SFRP4,0,0,0,0,0,0,0
RAMP2,0,0,0,0,0,0,0
CXCL14,0,0,0,0,0,0,0
MMP11,0,0,0,0,0,0,0
IGLC2,0,0,0,0,0,0,0
ACKR1,0,0,0,0,0,0,0
CLU,0,0,0,0,0,0,0
COL4A1,0,0,0,0,0,0,0
ADGRL4,0,0,0,0,0,0,0
CLEC14A,0,0,0,0,0,0,0
TNFRSF4,0,0,0,0,0,0,0
CXCL8,0,0,0,0,0,0,0
SPP1,0,0,0,0,0,0,0
NDUFA4L2,0,0,0,0,0,0,0
CD36,0,0,0,0,0,0,0
APOC1,0,0,0,0,0,0,0
TYRP1,0,0,0,0,0,0,0
A2M,0,0,0,0,0,0,0
IGLL5,0,0,0,0,0,0,0
FCGR3A,0,0,0,0,0,0,0
TIGIT,0,0,0,0,0,0,0
IGLC3,0,0,0,0,0,0,0
CAVIN2,0,0,0,0,0,0,0
S100A9,0,0,0,0,0,0,0
COL10A1,0,0,0,0,0,0,0
CD68,0,0,0,0,0,0,0
ALB,0,0,0,0,0,0,0
IGF2,0,0,0,0,0,0,0
RGS5,0,0,0,0,0,0,0
IL1B,0,0,0,0,0,0,0
G0S2,0,0,0,0,0,0,0
IGF1,0,0,0,0,0,0,0
S100A8,0,0,0,0,0,0,0
CCL2,0,0,0,0,0,0,0
CILP,0,0,0,0,0,0,0
PTGDS,0,0,0,0,0,0,0
MMP9,0,0,0,0,0,0,0
COMP,0,0,0,0,0,0,0
TTR,0,0,0,0,0,0,0
RAMP3,0,0,0,0,0,0,0
AMBP,0,0,0,0,0,0,0
RBP7,0,0,0,0,0,0,0
IGFBP3,0,0,0,0,0,0,0
RARRES1,0,0,0,0,0,0,0
LINC01320,0,0,0,0,0,0,0
SRGN,0,0,0,0,0,0,0
LAPTM5,0,0,0,0,0,0,0
TMSB4X,0,0,0,0,0,0,0
CD74,0,0,0,0,0,0,0
CORO1A,0,0,0,0,0,0,0
COL6A2,0,0,0,0,0,0,0
S100A4,0,0,0,0,0,0,0
CD52,0,0,0,0,0,0,0
COL6A1,0,0,0,0,0,0,0
CXCR4,0,0,0,0,0,0,0
IL32,0,0,0,0,0,0,0
RACK1,0,0,0,0,0,0,0
IGFBP7,0,0,0,0,0,0,0
AZGP1,0,0,0,0,0,0,0
COL6A3,0,0,0,0,0,0,0
KRT7,0,0,0,0,0,0,0
IGFBP4,0,0,0,0,0,0,0
CST3,0,0,0,0,0,0,0
MT-RNR2,0,0,0,0,0,0,0
S100A14,0,0,0,0,0,0,0
TRBC2,0,0,0,0,0,0,0
RARRES2,0,0,0,0,0,0,0
MGP,0,0,0,0,0,0,0
TSC22D3,0,0,0,0,0,0,0
HLA-DRB5,0,0,0,0,0,0,0
S100B,0,0,0,0,0,0,0
MMP2,0,0,0,0,0,0,0
LCK,0,0,0,0,0,0,0
IFITM1,0,0,0,0,0,0,0
RGS1,0,0,0,0,0,0,0
BTG1,0,0,0,0,0,0,0
ATP5F1E,0,0,0,0,0,0,0
TRAC,0,0,0,0,0,0,0
CTSK,0,0,0,0,0,0,0
ZFP36L2,0,0,0,0,0,0,0
PMEL,0,0,0,0,0,0,0
KRT15,0,0,0,0,0,0,0
ZFP36,0,0,0,0,0,0,0
SLPI,0,0,0,0,0,0,0
GIMAP7,0,0,0,0,0,0,0
MDK,0,0,0,0,0,0,0
MYL9,0,0,0,0,0,0,0
DUSP2,0,0,0,0,0,0,0
POSTN,0,0,0,0,0,0,0
TFF3,0,0,0,0,0,0,0
SERPINE2,0,0,0,0,0,0,0
TIMP1,0,0,0,0,0,0,0
LTB,0,0,0,0,0,0,0
RNASE1,0,0,0,0,0,0,0
MFAP4,0,0,0,0,0,0,0
KRT14,0,0,0,0,0,0,0
JUNB,0,0,0,0,0,0,0
IFITM3,0,0,0,0,0,0,0
ACTA2,0,0,0,0,0,0,0
CD27,0,0,0,0,0,0,0
TAGLN,0,0,0,0,0,0,0
CREM,0,0,0,0,0,0,0
AQP1,0,0,0,0,0,0,0
DCT,0,0,0,0,0,0,0
CRABP1,0,0,0,0,0,0,0
KRT17,0,0,0,0,0,0,0
TXNIP,0,0,0,0,0,0,0
WFDC2,0,0,0,0,0,0,0
PLAC9,0,0,0,0,0,0,0
MUCL1,0,0,0,0,0,0,0
TACSTD2,0,0,0,0,0,0,0
SERPING1,0,0,0,0,0,0,0
SFN,0,0,0,0,0,0,0
CTSW,0,0,0,0,0,0,0
HSPB1,0,0,0,0,0,0,0
PECAM1,0,0,0,0,0,0,0
DUSP1,0,0,0,0,0,0,0
AGR2,0,0,0,0,0,0,0
CALML5,0,0,0,0,0,0,0
IGKV4-1,0,0,0,0,0,0,0
TFF1,0,0,0,0,0,0,0
COL12A1,0,0,0,0,0,0,0
TCL1A,0,0,0,0,0,0,0
FABP7,0,0,0,0,0,0,0
FOS,0,0,0,0,0,0,0
SCGB2A2,0,0,0,0,0,0,0
TRAT1,0,0,0,0,0,0,0
MZB1,0,0,0,0,0,0,0
CD63,0,0,0,0,0,0,0
PRF1,0,0,0,0,0,0,0
GPR183,0,0,0,0,0,0,0
SPI1,0,0,0,0,0,0,0
IGLV3-21,0,0,0,0,0,0,0
SELL,0,0,0,0,0,0,0
NEAT1,0,0,0,0,0,0,0
GNLY,0,0,0,0,0,0,0
FCN1,0,0,0,0,0,0,0
CP,0,0,0,0,0,0,0
APOA2,0,0,0,0,0,0,0
MXRA5,0,0,0,0,0,0,0
CXCR3,0,0,0,0,0,0,0
APOC3,0,0,0,0,0,0,0
COL14A1,0,0,0,0,0,0,0
S100A2,0,0,0,0,0,0,0
HSPA1A,0,0,0,0,0,0,0
S100P,0,0,0,0,0,0,0
LTF,0,0,0,0,0,0,0
C1orf162,0,0,0,0,0,0,0
CRABP2,0,0,0,0,0,0,0
THBS2,0,0,0,0,0,0,0
GZMH,0,0,0,0,0,0,0
KLRB1,0,0,0,0,0,0,0
CD8B,0,0,0,0,0,0,0
NCF1,0,0,0,0,0,0,0
PIP,0,0,0,0,0,0,0
PHGR1,0,0,0,0,0,0,0
LST1,0,0,0,0,0,0,0
CD34,0,0,0,0,0,0,0
ESAM,0,0,0,0,0,0,0
C15orf48,0,0,0,0,0,0,0
LAG3,0,0,0,0,0,0,0
CAV1,0,0,0,0,0,0,0
C3,0,0,0,0,0,0,0
IRF8,0,0,0,0,0,0,0
FBN1,0,0,0,0,0,0,0
PRSS23,0,0,0,0,0,0,0
BANK1,0,0,0,0,0,0,0
COL4A2,0,0,0,0,0,0,0
CHI3L1,0,0,0,0,0,0,0
XCL1,0,0,0,0,0,0,0
CXCL3,0,0,0,0,0,0,0
FSTL1,0,0,0,0,0,0,0
