gene,rank_in_group,scores,log2fc,n_groups,agg_rank,symbol
ENSG00000237541,71.33333333333333,15.8214655,22.70632,6,69.75118680795033,HLA-DQA2
ENSG00000196628,114.5,27.915438,10.346059,6,111.70845627784728,ENSG00000196628
ENSG00000168461,115.66666666666669,19.41507,27.677961,6,113.725159684817,ENSG00000168461
ENSG00000081189,128.66666666666666,18.059029,17.747162,6,126.86076382795969,ENSG00000081189
ENSG00000197329,192.66666666666663,7.425434,10.307431,6,191.9241232673327,ENSG00000197329
ENSG00000101017,289.5,14.8023405,7.5489516,6,288.0197659730911,ENSG00000101017
ENSG00000111817,342.5,13.79935,7.420664,6,341.1200649738312,ENSG00000111817
ENSG00000074416,392.1666666666667,11.148726,17.047464,6,391.0517939726512,ENSG00000074416
ENSG00000183087,598.8333333333334,13.84715,5.78142,6,597.4486183722814,ENSG00000183087
ENSG00000188677,611.0,6.2841454,2.1875508,6,610.3715854883194,ENSG00000188677
ENSG00000011600,15.6,29.620052,288.6551,5,12.637994861602785,TYROBP
ENSG00000064989,87.6,17.915161,9.335941,5,85.80848393440246,CALCRL
ENSG00000165168,96.4,17.9003,34.348167,5,94.6099701166153,CYBB
ENSG00000106537,132.8,14.915915,4.930642,5,131.30840854644777,ENSG00000106537
ENSG00000090339,146.0,10.201197,29.796432,5,144.97988033294678,ENSG00000090339
ENSG00000167604,157.2,11.609068,15.690738,5,156.03909320831298,ENSG00000167604
ENSG00000198053,162.8,11.183574,8.040198,5,161.68164258003236,ENSG00000198053
ENSG00000133789,178.6,12.511748,13.108498,5,177.34882519245147,ENSG00000133789
ENSG00000163694,180.6,10.03081,11.63426,5,179.59691891670226,ENSG00000163694
ENSG00000112149,184.2,20.800308,69.00627,5,182.11996908187865,CD83
ENSG00000134531,193.0,19.500296,4.042205,5,191.04997038841248,ENSG00000134531
ENSG00000106565,207.6,20.29723,48.910427,5,205.57027707099917,TMEM176B
ENSG00000178695,207.8,14.332143,8.80819,5,206.36678569316865,ENSG00000178695
ENSG00000254087,231.6,12.703329,9.855894,5,230.32966706752777,ENSG00000254087
ENSG00000119508,246.0,8.783948,10.969358,5,245.1216052174568,ENSG00000119508
ENSG00000118257,274.0,8.595906,6.3437743,5,273.1404093503952,ENSG00000118257
ENSG00000080371,280.2,6.189466,2.0226967,5,279.58105338811873,ENSG00000080371
ENSG00000164330,293.6,13.809939,2.721171,5,292.2190060377121,ENSG00000164330
ENSG00000075618,294.4,15.399114,12.833349,5,292.8600886106491,ENSG00000075618
ENSG00000003436,297.6,14.476957,3.0424714,5,296.1523042678833,ENSG00000003436
ENSG00000196562,301.6,13.813864,2.549555,5,300.2186136007309,ENSG00000196562
ENSG00000135604,337.6,10.543204,12.64155,5,336.5456795454025,ENSG00000135604
ENSG00000125733,359.0,10.743567,3.1255913,5,357.9256432056427,ENSG00000125733
ENSG00000155962,359.6,11.63119,12.086672,5,358.4368809223175,ENSG00000155962
ENSG00000178381,387.6,7.2854614,14.952479,5,386.8714538574219,ENSG00000178381
ENSG00000118292,392.4,11.738775,16.280329,5,391.2261225223541,ENSG00000118292
ENSG00000131370,398.8,9.798459,6.332289,5,397.8201541185379,ENSG00000131370
ENSG00000170017,417.2,7.76318,9.43411,5,416.4236820459366,ENSG00000170017
ENSG00000070190,445.8,12.838507,10.054146,5,444.5161493301392,ENSG00000070190
ENSG00000109320,451.4,10.83107,5.2908506,5,450.3168930053711,ENSG00000109320
ENSG00000156052,463.8,7.313034,4.6900477,5,463.0686966061592,ENSG00000156052
ENSG00000132510,481.8,7.3492556,6.7586555,5,481.0650744318962,ENSG00000132510
ENSG00000176788,495.4,16.719341,5.844007,5,493.7280658721924,ENSG00000176788
ENSG00000103642,547.8,8.4407835,5.685058,5,546.9559216380119,ENSG00000103642
ENSG00000173327,601.8,7.75429,3.0377045,5,601.0245709896087,ENSG00000173327
ENSG00000256235,678.8,12.630903,6.247319,5,677.5369096279144,ENSG00000256235
ENSG00000090382,23.75,28.184471,218.9274,4,20.93155288696289,LYZ
ENSG00000242574,31.25,23.785538,191.3464,4,28.871446132659912,HLA-DMB
ENSG00000111275,41.75,17.692234,50.11287,4,39.98077654838562,ENSG00000111275
ENSG00000140968,53.0,19.161392,64.96534,4,51.083860754966736,IRF8
ENSG00000161921,57.25,19.39299,71.85756,4,55.31070101261139,ENSG00000161921
ENSG00000112799,59.0,18.600958,51.06453,4,57.139904260635376,ENSG00000112799
ENSG00000114013,66.25,20.228874,38.30473,4,64.22711253166199,ENSG00000114013
ENSG00000115355,66.75,13.590982,23.026276,4,65.39090180397034,ENSG00000115355
ENSG00000157557,67.75,18.007269,17.114183,4,65.94927310943604,ENSG00000157557
ENSG00000169136,70.25,15.627153,5.293769,4,68.68728470802307,ENSG00000169136
ENSG00000102524,80.75,17.759516,57.663437,4,78.97404837608337,ENSG00000102524
ENSG00000165025,85.0,13.801815,18.475784,4,83.61981844902039,ENSG00000165025
ENSG00000166927,92.0,19.57821,149.91042,4,90.04217886924744,MS4A7
ENSG00000169413,96.25,17.326458,51.42116,4,94.51735424995422,ENSG00000169413
ENSG00000137265,101.75,11.154362,2.1536794,4,100.6345638036728,ENSG00000137265
ENSG00000182871,103.25,26.044884,5.076915,4,100.64551162719728,ENSG00000182871
ENSG00000120594,104.0,22.980541,51.18281,4,101.70194578170776,ENSG00000120594
ENSG00000101336,105.75,17.81138,40.405243,4,103.96886193752287,ENSG00000101336
ENSG00000107551,107.5,15.919648,64.68738,4,105.90803515911102,ENSG00000107551
ENSG00000136867,110.0,13.226572,47.3688,4,108.67734277248384,ENSG00000136867
ENSG00000127920,111.75,30.667862,9.931781,4,108.68321371078493,GNG11
ENSG00000115956,117.5,20.615726,25.040579,4,115.4384274482727,PLEK
ENSG00000234883,118.5,12.7308235,6.571756,4,117.22691762447356,MIR155HG
ENSG00000292332,125.75,16.3518,6.312606,4,124.11481988430025,ENSG00000292332
ENSG00000015475,148.75,15.57395,16.751698,4,147.19260501861572,ENSG00000015475
ENSG00000072694,153.25,15.2697525,21.870903,4,151.723024725914,ENSG00000072694
ENSG00000067113,160.0,20.703606,8.311308,4,157.92963933944702,ENSG00000067113
ENSG00000134871,167.75,25.026033,7.134057,4,165.2473967075348,COL4A2
ENSG00000168961,167.5,14.251287,49.22325,4,166.074871301651,ENSG00000168961
ENSG00000106991,172.25,20.596096,19.253378,4,170.19039034843445,ENSG00000106991
ENSG00000113532,172.25,9.071669,12.057867,4,171.34283316135406,ENSG00000113532
ENSG00000162783,173.5,8.689231,3.8329167,4,172.63107693195343,ENSG00000162783
ENSG00000115919,181.5,15.198967,15.39193,4,179.98010325431824,ENSG00000115919
ENSG00000002933,184.25,23.00011,10.695323,4,181.9499888420105,TMEM176A
ENSG00000131711,189.75,17.363043,1.8463638,4,188.0136957168579,ENSG00000131711
ENSG00000161638,195.25,17.949942,3.485544,4,193.45500588417053,ENSG00000161638
ENSG00000126353,201.75,13.901701,17.186327,4,200.35982990264893,CCR7
ENSG00000185215,205.75,13.666285,22.409948,4,204.383371591568,ENSG00000185215
ENSG00000157110,212.25,17.705793,2.7526872,4,210.47942066192627,ENSG00000157110
ENSG00000070214,214.0,13.621611,3.4019225,4,212.6378389596939,ENSG00000070214
ENSG00000151929,215.75,9.201634,6.284318,4,214.82983654737475,ENSG00000151929
ENSG00000120063,224.0,8.218506,11.415139,4,223.1781494021416,ENSG00000120063
ENSG00000204103,228.0,19.612963,17.834282,4,226.03870368003845,ENSG00000204103
ENSG00000137509,233.25,14.32872,23.771757,4,231.8171279430389,ENSG00000137509
ENSG00000054277,235.25,7.2490706,3.9660077,4,234.525092959404,ENSG00000054277
ENSG00000100292,243.75,16.17812,27.093328,4,242.13218808174133,HMOX1
ENSG00000138166,253.0,9.377752,4.305076,4,252.06222474575043,ENSG00000138166
ENSG00000111252,254.75,7.702197,9.788849,4,253.97978031635284,ENSG00000111252
ENSG00000073712,257.5,15.535555,1.9098059,4,255.9464445114136,ENSG00000073712
ENSG00000010327,257.25,10.677146,32.297283,4,256.1822854280472,ENSG00000010327
ENSG00000120896,265.75,17.052937,1.7395971,4,264.0447063446045,ENSG00000120896
ENSG00000134109,265.5,10.097662,5.236393,4,264.49023377895355,ENSG00000134109
ENSG00000197555,266.75,8.019014,7.8499894,4,265.9480985403061,ENSG00000197555
ENSG00000231721,270.0,6.696552,2.499474,4,269.3303447961807,ENSG00000231721
ENSG00000196730,271.5,6.179548,13.869342,4,270.8820452094078,ENSG00000196730
ENSG00000158517,277.25,18.438164,48.018406,4,275.4061836004257,NCF1
ENSG00000031081,277.75,10.259409,2.5486612,4,276.72405910491943,ENSG00000031081
ENSG00000198743,280.25,7.799103,1.915348,4,279.4700897336006,ENSG00000198743
ENSG00000111885,282.25,13.966852,2.295968,4,280.8533147573471,ENSG00000111885
ENSG00000254772,287.25,7.4886193,159.90433,4,286.50113809108734,ENSG00000254772
ENSG00000069399,305.0,7.005912,1.8039742,4,304.2994087934494,ENSG00000069399
ENSG00000128512,311.25,9.29987,14.461971,4,310.32001304626465,ENSG00000128512
ENSG00000075391,319.75,10.599198,2.8608775,4,318.69008016586304,ENSG00000075391
ENSG00000052795,320.25,7.1230354,7.8604937,4,319.53769648075104,ENSG00000052795
ENSG00000109756,322.75,7.6891556,2.45124,4,321.98108446598053,ENSG00000109756
ENSG00000153071,326.25,18.302979,24.843801,4,324.41970217227936,ENSG00000153071
ENSG00000068305,327.0,7.484461,15.46299,4,326.2515538930893,ENSG00000068305
ENSG00000066336,331.75,25.070328,8.0697155,4,329.24296712875366,SPI1
ENSG00000085871,331.5,13.652322,15.4639435,4,330.1347677707672,ENSG00000085871
ENSG00000123358,336.75,8.374979,28.2167,4,335.9125021100044,ENSG00000123358
ENSG00000170873,343.5,7.132563,13.574189,4,342.7867437005043,ENSG00000170873
ENSG00000176915,346.5,6.7316694,5.0911026,4,345.8268330693245,ENSG00000176915
ENSG00000121552,347.75,15.410999,9.886816,4,346.2089000940323,CSTA
ENSG00000143776,348.5,11.335277,0.9172089,4,347.366472363472,ENSG00000143776
ENSG00000173110,350.5,6.7597413,17.234463,4,349.8240258693695,HSPA6
ENSG00000143322,352.5,8.048237,11.219757,4,351.6951763033867,ENSG00000143322
ENSG00000138756,353.75,9.310657,9.541966,4,352.8189343214035,ENSG00000138756
ENSG00000166002,357.5,14.105195,32.20959,4,356.08948051929474,ENSG00000166002
ENSG00000133106,357.75,5.3774586,27.81812,4,357.2122541666031,ENSG00000133106
ENSG00000167680,364.25,9.700632,5.555055,4,363.2799367904663,ENSG00000167680
ENSG00000164463,365.5,4.8033915,1.9313886,4,365.01966086030006,ENSG00000164463
ENSG00000154589,377.25,12.662878,26.26764,4,375.9837121963501,ENSG00000154589
ENSG00000156273,394.25,8.541222,8.141743,4,393.3958778381348,ENSG00000156273
ENSG00000136826,395.75,10.562695,17.72958,4,394.69373059272766,ENSG00000136826
ENSG00000163932,399.5,4.3865066,2.3648376,4,399.0613493323326,ENSG00000163932
ENSG00000140455,403.0,6.0140233,15.956516,4,402.3985976576805,ENSG00000140455
ENSG00000099250,415.5,19.293495,11.377855,4,413.5706504583359,ENSG00000099250
ENSG00000054967,431.75,6.4797997,6.1297517,4,431.1020200252533,ENSG00000054967
ENSG00000140379,443.25,14.558645,38.49898,4,441.7941354513168,BCL2A1
ENSG00000198382,450.0,6.8863482,7.8091583,4,449.3113651871681,ENSG00000198382
ENSG00000107263,461.25,7.3739753,5.8832016,4,460.5126024484634,ENSG00000107263
