gene,rank_in_group,scores,log2fc,n_groups,agg_rank,symbol
ENSG00000122862,1.0,112.50422,42.551563,1,-10.250421524047852,SRGN
ENSG00000205542,2.0,110.12693,172.55344,1,-9.012693405151367,TMSB4X
ENSG00000162511,3.0,107.1842,30.991524,1,-7.718420028686523,LAPTM5
ENSG00000170421,1.0,83.604774,15.624395,1,-7.360477447509766,KRT8
ENSG00000111057,2.0,83.46238,22.204111,1,-6.346238136291504,KRT18
ENSG00000111348,4.0,97.49688,28.270527,1,-5.749688148498535,ARHGDIB
ENSG00000171345,3.0,81.67461,32.202557,1,-5.167460441589356,KRT19
ENSG00000169442,5.0,95.025894,20.716995,1,-4.502589225769043,CD52
ENSG00000189171,4.0,77.52126,17.205336,1,-3.752126216888428,S100A13
ENSG00000102879,6.0,94.67184,28.797829,1,-3.467184066772461,CORO1A
ENSG00000125868,5.0,73.79511,29.11844,1,-2.37951135635376,DSTN
ENSG00000104894,7.0,92.794655,13.643459,1,-2.279465675354004,CD37
ENSG00000089356,6.0,72.86909,18.77627,1,-1.2869086265563965,FXYD3
ENSG00000121966,8.0,89.541504,65.00753,1,-0.9541501998901368,CXCR4
ENSG00000272398,7.0,72.653656,16.546926,1,-0.2653656005859375,CD24
ENSG00000196154,9.0,85.514656,14.893847,1,0.4485340118408203,S100A4
ENSG00000175130,8.0,72.35254,13.220729,1,0.7647461891174316,ENSG00000175130
ENSG00000128340,10.0,84.26231,18.347065,1,1.5737695693969729,RAC2
ENSG00000143545,9.0,68.69134,14.584211,1,2.130866050720215,ENSG00000143545
ENSG00000147168,11.0,84.24708,21.58138,1,2.575292587280273,IL2RG
ENSG00000137203,10.0,67.13187,12.811552,1,3.286813259124756,ENSG00000137203
ENSG00000198851,12.0,83.32566,11.885067,1,3.667433738708496,CD3E
ENSG00000160678,11.0,65.14418,21.310116,1,4.485581874847412,S100A1
ENSG00000126264,13.0,82.334076,13.297769,1,4.766592025756836,HCST
ENSG00000124766,12.0,63.999893,15.854407,1,5.600010871887207,ENSG00000124766
ENSG00000115165,14.0,80.77002,15.611541,1,5.922998428344727,CYTIP
ENSG00000010278,13.0,62.993332,14.436212,1,6.700666904449463,CD9
ENSG00000019582,15.0,80.58409,142.43861,1,6.941591262817383,CD74
ENSG00000070087,14.0,62.70318,13.8353615,1,7.729681968688965,ENSG00000070087
ENSG00000143119,16.0,78.19953,18.206299,1,8.180047035217285,ENSG00000143119
ENSG00000167642,15.0,62.639233,9.614159,1,8.736076831817627,SPINT2
ENSG00000008517,17.0,78.119934,26.153273,1,9.188006401062012,IL32
ENSG00000110092,16.0,62.593254,32.817257,1,9.74067449569702,ENSG00000110092
ENSG00000116824,18.0,77.392166,19.126127,1,10.260783195495604,CD2
ENSG00000065361,17.0,62.37998,18.104486,1,10.762001991271973,ENSG00000065361
ENSG00000204592,19.0,76.217354,18.132885,1,11.37826442718506,HLA-E
ENSG00000182809,18.0,62.14404,11.477624,1,11.785595893859863,ENSG00000182809
ENSG00000180353,20.0,75.86311,13.284618,1,12.413688659667969,ENSG00000180353
ENSG00000160862,19.0,61.49008,24.930437,1,12.85099172592163,AZGP1
ENSG00000211772,21.0,75.33448,25.838312,1,13.466551780700684,TRBC2
ENSG00000111341,20.0,60.833485,123.40413,1,13.916651725769045,MGP
ENSG00000136167,22.0,74.86772,18.246851,1,14.513227939605711,LCP1
ENSG00000176046,21.0,60.13674,7.995363,1,14.986325740814207,NUPR1
ENSG00000167286,23.0,74.769394,20.520523,1,15.52306079864502,CD3D
ENSG00000189334,22.0,59.5078,13.876383,1,16.049220085144043,S100A14
ENSG00000115935,24.0,73.360916,5.293186,1,16.6639084815979,ENSG00000115935
ENSG00000102804,23.0,59.308796,17.619648,1,17.069120407104492,ENSG00000102804
ENSG00000173762,25.0,69.40222,12.592904,1,18.05977773666382,CD7
ENSG00000142192,24.0,58.84458,11.752426,1,18.11554193496704,ENSG00000142192
ENSG00000133639,26.0,69.31378,10.100354,1,19.06862163543701,BTG1
ENSG00000135480,25.0,58.47141,11.248854,1,19.152859210968018,KRT7
ENSG00000140416,26.0,58.321804,6.464227,1,20.16781949996948,TPM1
ENSG00000077984,27.0,66.046165,14.008345,1,20.39538335800171,CST7
ENSG00000245694,27.0,57.436104,10.58811,1,21.25638961791992,ENSG00000245694
ENSG00000136490,28.0,65.91097,3.6858,1,21.408902645111084,LIMD2
ENSG00000133142,28.0,57.28339,11.843842,1,22.27166080474853,ENSG00000133142
ENSG00000107742,29.0,64.718895,13.181785,1,22.52811050415039,SPOCK2
ENSG00000008394,29.0,57.22366,8.448515,1,23.277634143829346,MGST1
ENSG00000118503,30.0,64.6564,18.556616,1,23.5343599319458,TNFAIP3
ENSG00000079462,30.0,56.66273,9.895471,1,24.33372688293457,ENSG00000079462
ENSG00000157514,31.0,62.69315,18.38052,1,24.730685234069824,TSC22D3
ENSG00000110492,31.0,56.65757,16.0587,1,25.334242820739743,MDK
ENSG00000132965,32.0,62.63151,14.611409,1,25.73684883117676,ALOX5AP
ENSG00000115648,32.0,56.373604,26.462082,1,26.36263942718506,ENSG00000115648
ENSG00000152518,33.0,61.98479,8.50387,1,26.801520824432373,ZFP36L2
ENSG00000169242,33.0,55.942043,11.022642,1,27.405795574188232,ENSG00000169242
ENSG00000117091,34.0,61.83313,11.179688,1,27.81668710708618,ENSG00000117091
ENSG00000103202,34.0,55.619728,9.094029,1,28.438027381896973,ENSG00000103202
ENSG00000160255,35.0,61.00928,15.353952,1,28.89907169342041,ITGB2
ENSG00000112378,35.0,55.616013,9.683199,1,29.438398838043213,ENSG00000112378
ENSG00000182866,36.0,60.210766,15.610261,1,29.978923320770264,LCK
ENSG00000240972,36.0,55.336285,84.04437,1,30.466371536254883,MIF
ENSG00000185885,37.0,60.131317,3.7183554,1,30.986868381500244,IFITM1
ENSG00000188643,37.0,55.315613,10.139049,1,31.468438625335693,ENSG00000188643
ENSG00000051523,38.0,59.49884,4.9011827,1,32.05011606216431,CYBA
ENSG00000164919,38.0,54.653774,47.07112,1,32.53462266921997,COX6C
