gene,freq,mean_rank,score,symbol
ENSG00000251039,5,0.0,5.0,IGKV2D-40
ENSG00000211837,5,1.0,4.999333333333333,TRAJ53
ENSG00000211672,5,3.6,4.9976,IGLV4-3
ENSG00000211838,5,5.4,4.9964,TRAJ52
ENSG00000254326,5,8.4,4.9944,IGHV7-27
ENSG00000211844,5,8.4,4.9944,TRAJ45
ENSG00000108821,5,9.8,4.9934666666666665,COL1A1
ENSG00000157005,5,12.2,4.991866666666667,SST
ENSG00000211639,5,12.6,4.9916,IGLV4-60
ENSG00000278661,5,15.4,4.989733333333334,TRAJ37
ENSG00000211675,5,17.0,4.988666666666667,IGLC1
ENSG00000164692,5,18.6,4.9876,COL1A2
ENSG00000282122,5,18.8,4.987466666666666,IGHV7-4-1
ENSG00000158874,5,19.8,4.9868,APOA2
ENSG00000259490,5,20.4,4.9864,IGHV3OR15-7
ENSG00000211664,5,20.4,4.9864,IGLV2-18
ENSG00000111341,5,21.6,4.9856,MGP
ENSG00000211638,5,22.4,4.9850666666666665,IGLV8-61
ENSG00000211952,5,22.6,4.984933333333333,IGHV4-28
ENSG00000171199,5,23.8,4.984133333333333,OPRPN
ENSG00000211867,5,27.0,4.982,TRAJ22
ENSG00000149021,5,27.4,4.981733333333334,SCGB1A1
ENSG00000211847,5,28.4,4.981066666666667,TRAJ42
ENSG00000259337,5,29.2,4.980533333333334,IGHV1OR15-2
ENSG00000181617,5,30.2,4.979866666666667,FDCSP
ENSG00000278857,5,31.6,4.978933333333333,IGKV1D-12
ENSG00000251546,5,34.0,4.977333333333333,IGKV1D-39
ENSG00000172236,5,35.0,4.976666666666667,TPSAB1
ENSG00000211979,5,35.4,4.9764,IGHV7-81
ENSG00000163751,5,35.8,4.976133333333333,CPA3
ENSG00000153002,5,37.8,4.9748,CPB1
ENSG00000241794,5,38.8,4.9741333333333335,SPRR2A
ENSG00000110244,5,39.4,4.973733333333334,APOA4
ENSG00000261704,5,40.4,4.973066666666667,IGHV1OR16-1
ENSG00000203785,5,41.4,4.9724,SPRR2E
ENSG00000242534,5,43.0,4.971333333333333,IGKV2D-28
ENSG00000167531,5,44.8,4.970133333333333,LALBA
ENSG00000211642,5,45.2,4.969866666666666,IGLV10-54
ENSG00000223350,5,45.8,4.9694666666666665,IGLV9-49
ENSG00000115523,5,48.0,4.968,GNLY
ENSG00000113140,5,48.2,4.967866666666667,SPARC
ENSG00000243264,5,50.0,4.966666666666667,IGKV2D-29
ENSG00000211720,5,51.6,4.9656,TRBV11-1
ENSG00000239571,5,52.0,4.965333333333334,IGKV2D-30
ENSG00000177504,5,53.8,4.964133333333334,VCX2
ENSG00000089199,5,55.6,4.962933333333333,CHGB
ENSG00000197253,5,56.2,4.962533333333333,TPSB2
ENSG00000239975,5,56.6,4.962266666666666,IGKV1D-33
ENSG00000253234,5,57.0,4.962,IGLV2-5
ENSG00000019582,5,57.2,4.961866666666666,CD74
ENSG00000011465,5,59.6,4.960266666666667,DCN
ENSG00000160180,5,60.4,4.959733333333333,TFF3
ENSG00000211665,5,62.0,4.958666666666667,IGLV3-16
ENSG00000239910,5,64.4,4.957066666666667,RN7SL530P
ENSG00000185664,5,67.8,4.9548,PMEL
ENSG00000211655,5,69.0,4.954,IGLV1-36
ENSG00000170373,5,69.4,4.953733333333333,CST1
ENSG00000275158,5,69.4,4.953733333333333,TRBV12-5
ENSG00000196565,5,71.8,4.952133333333333,HBG2
ENSG00000130203,5,72.4,4.951733333333333,APOE
ENSG00000170323,5,73.4,4.951066666666667,FABP4
ENSG00000163453,5,74.4,4.9504,IGFBP7
ENSG00000211637,5,75.2,4.949866666666667,IGLV4-69
ENSG00000108702,5,75.6,4.9496,CCL1
ENSG00000110245,5,75.8,4.949466666666667,APOC3
ENSG00000211955,5,76.8,4.9488,IGHV3-33
ENSG00000211645,5,78.8,4.947466666666666,IGLV1-50
ENSG00000143556,5,79.4,4.947066666666666,S100A7
ENSG00000254046,5,80.8,4.946133333333333,IGHV1-17
ENSG00000145192,5,81.8,4.9454666666666665,AHSG
ENSG00000172551,5,82.0,4.945333333333333,MUCL1
ENSG00000161634,5,82.0,4.945333333333333,DCD
ENSG00000211652,5,83.6,4.944266666666667,IGLV7-43
ENSG00000211658,5,84.0,4.944,IGLV3-27
ENSG00000188508,5,84.0,4.944,KRTDAP
ENSG00000163631,5,84.8,4.943466666666667,ALB
ENSG00000095917,5,84.8,4.943466666666667,TPSD1
ENSG00000210082,5,85.4,4.943066666666667,MT-RNR2
ENSG00000236535,5,86.6,4.942266666666667,RC3H1-IT1
ENSG00000254174,5,88.0,4.941333333333334,IGHV1-12
ENSG00000241244,5,89.2,4.940533333333334,IGKV1D-16
ENSG00000135346,5,91.0,4.939333333333333,CGA
ENSG00000156234,5,92.0,4.938666666666666,CXCL13
ENSG00000276405,5,92.4,4.9384,TRBV13
ENSG00000110484,5,92.8,4.938133333333333,SCGB2A2
ENSG00000142515,5,96.0,4.936,KLK3
ENSG00000211943,5,96.8,4.935466666666667,IGHV3-15
ENSG00000211649,5,98.4,4.9344,IGLV7-46
ENSG00000243353,5,101.6,4.932266666666667,RPS29P19
ENSG00000136872,5,102.0,4.932,ALDOB
ENSG00000187026,5,102.6,4.9316,KRTAP21-2
ENSG00000139329,5,103.6,4.930933333333333,LUM
ENSG00000145423,5,104.4,4.9304,SFRP2
ENSG00000102970,5,106.6,4.928933333333333,CCL17
ENSG00000224041,5,107.0,4.9286666666666665,IGKV3D-15
ENSG00000282639,5,107.2,4.928533333333333,IGHV3-64D
ENSG00000129862,5,111.2,4.925866666666667,VCY1B
ENSG00000253691,5,111.2,4.925866666666667,IGKV2OR22-4
ENSG00000231475,5,111.4,4.9257333333333335,IGHV4-31
