gene,gene_nr,selection,rank,marker_rank,tree_rank,importance_score,pca_score,pre_selected,prior_selected,pca_selected,celltypes_DE_1vsall,celltypes_DE_specific,celltypes_DE,celltypes_marker,list_only_ct_marker,required_marker,required_list_marker
ENSG00000023445,1,True,1.0,1.0,1.0,0.9233601451152522,0.55913459153048,False,False,False,DC,,DC,DC,False,True,False
ENSG00000108821,2,True,1.0,1.0,1.0,0.8085842151439646,1.0684356573142604,False,False,True,Fibroblast,,Fibroblast,Fibroblast,False,True,False
ENSG00000156738,3,True,1.0,1.0,1.0,0.7161368142521881,0.7208713988975225,False,False,False,B,,B,B,False,True,False
ENSG00000131981,4,True,1.0,1.0,1.0,0.49967391130592487,0.8971487017058806,False,False,True,Melanocyte,,Melanocyte,Melanocyte,False,True,False
ENSG00000166441,5,True,1.0,1.0,1.0,0.46596197148865925,1.134685414701462,False,False,True,,Epithelial,Epithelial,Epithelial,False,True,False
ENSG00000212907,6,True,1.0,1.0,1.0,0.4185346077336672,1.750927748712628,False,False,True,,T,T,T,False,True,False
ENSG00000102265,7,True,1.0,1.0,1.0,0.39014919159679606,0.915318579346999,False,False,True,,Monocyte/Mac,Monocyte/Mac,Monocyte/Mac,False,True,False
ENSG00000011600,8,True,1.0,1.0,1.0,0.30282062674644844,0.9298858152631375,False,False,True,Other,,Other,Other,False,True,False
ENSG00000131477,9,True,1.0,1.0,1.0,0.21336868855117558,0.5769003082803544,False,False,False,"Endothelial,Epithelial",,"Endothelial,Epithelial","Endothelial,Epithelial",False,True,False
ENSG00000170476,10,True,1.0,1.0,1.0,0.18684139398111205,0.3222146617029977,False,False,False,Plasma,,Plasma,Plasma,False,True,False
ENSG00000228253,11,True,1.0,2.0,1.0,0.18570309114290945,1.895224413463956,False,False,True,,T,T,T,False,True,False
ENSG00000205542,12,True,1.0,2.0,1.0,0.13910119939592097,1.636587809399444,False,False,True,Other,,Other,Other,False,True,False
ENSG00000019582,13,True,1.0,2.0,1.0,0.1217797828927229,2.2329536244568766,False,False,True,"Other,B",,"Other,B","Other,B",False,True,False
ENSG00000130066,14,True,1.0,2.0,1.0,0.05611248655783872,0.9499408512614883,False,False,True,Monocyte/Mac,,Monocyte/Mac,Monocyte/Mac,False,True,False
ENSG00000106211,15,True,1.0,2.0,1.0,0.046107401555958494,1.3428053817773158,False,False,True,Melanocyte,,Melanocyte,Melanocyte,False,True,False
ENSG00000163453,16,True,1.0,2.0,1.0,0.03251424632394155,0.999943412133436,False,False,True,"Endothelial,Epithelial",,"Endothelial,Epithelial","Endothelial,Epithelial",False,True,False
ENSG00000167283,17,True,1.0,,1.0,0.5408187347475043,0.9374813453314701,False,False,True,,,,,False,False,False
ENSG00000210082,18,True,1.0,,1.0,0.43522298575452834,0.9650778042895529,False,False,True,,,,,False,False,False
ENSG00000101439,19,True,1.0,,1.0,0.33820369880428325,1.0884139907013903,False,False,True,,,,,False,False,False
ENSG00000124172,20,True,1.0,,1.0,0.25,1.301544370731909,False,False,True,,,,,False,False,False
ENSG00000171345,21,True,1.0,,1.0,0.20335392365229393,1.0436277497416913,False,False,True,,,,,False,False,False
ENSG00000125534,22,True,1.0,,1.0,0.16739410023985105,1.3140157941076152,False,False,True,,,,,False,False,False
ENSG00000080824,23,True,1.0,,1.0,0.142181732052148,1.5015529892321344,False,False,True,,,,,False,False,False
ENSG00000204628,24,True,1.0,,1.0,0.12877288392463127,1.3319636046635541,False,False,True,,,,,False,False,False
ENSG00000116824,25,True,1.0,,1.0,0.10839228363631928,0.9368032444588503,False,False,True,,,,,False,False,False
ENSG00000149591,26,True,1.0,,1.0,0.10017201725796746,1.0313835389056998,False,False,True,,,,,False,False,False
ENSG00000100453,27,True,1.0,,1.0,0.0887777311854509,0.9222527620991474,False,False,True,,,,,False,False,False
ENSG00000122862,28,True,1.0,,1.0,0.04684642732495205,1.208916968422191,False,False,True,,,,,False,False,False
ENSG00000167286,29,True,1.0,,1.0,0.03752796575102373,0.9460922715688465,False,False,True,T,,T,T,False,False,False
ENSG00000026025,30,True,1.0,,1.0,0.03746560459310745,1.6192951805714002,False,False,True,Melanocyte,,Melanocyte,Melanocyte,False,False,False
ENSG00000142669,31,True,1.0,,1.0,0.025341130604288498,1.068110966140391,False,False,True,,,,,False,False,False
ENSG00000130203,32,True,1.0,,1.0,0.024269153037850356,1.5634880163562968,False,False,True,,,,,False,False,False
ENSG00000189058,33,True,1.0,,1.0,0.022869680377443278,0.9694335328542016,False,False,True,,,,,False,False,False
ENSG00000133872,34,True,1.0,,1.0,0.021182351702436035,1.099502031983769,False,False,True,T,,T,T,False,False,False
ENSG00000245532,35,True,1.0,,1.0,0.015518093414448493,1.623374191455941,False,False,True,,,,,False,False,False
ENSG00000008988,36,True,1.0,,1.0,0.015389317313078762,1.1006094705670222,False,False,True,,Epithelial,Epithelial,Epithelial,False,False,False
ENSG00000142089,37,True,1.0,,1.0,0.015015843761246449,1.476425698475185,False,False,True,,,,,False,False,False
ENSG00000100097,38,True,1.0,,1.0,0.014593696899083627,1.3583908131781386,False,False,True,,,,,False,False,False
ENSG00000077984,39,True,1.0,,1.0,0.01406536282803552,0.9100263523981742,False,False,True,,,,,False,False,False
ENSG00000163191,40,True,1.0,,1.0,0.013959821075191631,1.1626601366574016,False,False,True,,,,,False,False,False
ENSG00000121966,41,True,1.0,,1.0,0.01379137592892656,1.199938043130894,False,False,True,,,,,False,False,False
ENSG00000125148,42,True,1.0,,1.0,0.013207636088302957,1.5569736952384927,False,False,True,,,,,False,False,False
ENSG00000197746,43,True,1.0,,1.0,0.012839032028536474,0.8979154844131473,False,False,True,,,,,False,False,False
ENSG00000170345,44,True,1.0,,1.0,0.009946383523407003,1.7229460090969702,False,False,True,,,,,False,False,False
ENSG00000204389,45,True,1.0,,1.0,0.008955550076580679,1.9227619106872043,False,False,True,,Melanocyte,Melanocyte,Melanocyte,False,False,False
ENSG00000096384,46,True,1.0,,1.0,0.008456728546435886,0.9866988691516891,False,False,True,,,,,False,False,False
ENSG00000133639,47,True,1.0,,1.0,0.008240763932586924,1.2474893401443325,False,False,True,,,,,False,False,False
ENSG00000197747,48,True,1.0,,1.0,0.006160519146259889,1.461889477681819,False,False,True,,,,,False,False,False
ENSG00000128016,49,True,1.0,,1.0,0.005822316405196454,1.3772331499868256,False,False,True,,,,,False,False,False
ENSG00000130303,50,True,1.0,,1.0,0.0057092448008951155,0.9560729093267457,False,False,True,,,,,False,False,False
ENSG00000008517,51,True,1.0,,1.0,0.00530513329896525,1.410046431595142,False,False,True,,,,,False,False,False
ENSG00000169442,52,True,1.0,,1.0,0.00515453286681999,1.059854045269376,False,False,True,,B,B,B,False,False,False
ENSG00000204592,53,True,1.0,,1.0,0.0029819366400314984,0.9928045614983394,False,False,True,,,,,False,False,False
ENSG00000115414,54,True,1.0,,1.0,0.0026142857890616737,1.0210338725724992,False,False,True,,,,,False,False,False
ENSG00000182718,55,True,1.0,,1.0,0.0023345876897834816,1.0204395605288623,False,False,True,,,,,False,False,False
ENSG00000111341,56,True,1.0,,1.0,0.002103772702364441,2.0008694771342608,False,False,True,,,,,False,False,False
ENSG00000120129,57,True,1.0,,1.0,5.7327455185001056e-15,1.1453432401689243,False,False,True,,,,,False,False,False
ENSG00000135404,58,True,1.0,,1.0,1.7256063026164776e-15,1.1925037791269035,False,False,True,,,,,False,False,False
ENSG00000074800,59,True,1.0,,1.0,7.075865103065734e-16,1.1100867615247743,False,False,True,,,,,False,False,False
ENSG00000145649,60,True,1.0,,1.0,5.115879370717416e-16,1.0312842909249842,False,False,True,,,,,False,False,False
ENSG00000177575,61,True,2.0,1.0,,,0.21081230453179958,False,False,False,Microglia,,Microglia,Microglia,False,True,False
ENSG00000132465,62,True,3.0,2.0,2.0,0.18881172260484544,0.4852027895186301,False,False,False,Plasma,,Plasma,Plasma,False,True,False
ENSG00000122786,63,True,3.0,2.0,,,0.774940371837205,False,False,False,,Fibroblast,Fibroblast,Fibroblast,False,True,False
ENSG00000112149,64,True,3.0,2.0,,,0.6377320601563574,False,False,False,DC,,DC,DC,False,True,False
ENSG00000173391,65,True,3.0,2.0,,,0.11309520874858413,False,False,False,Microglia,,Microglia,Microglia,False,True,False
ENSG00000198502,66,True,4.0,,2.0,0.023751889425112905,1.374668608745609,False,False,True,,,,,False,False,False
ENSG00000185885,67,True,4.0,,2.0,0.02344007773469242,1.7124611198567978,False,False,True,,T,T,T,False,False,False
ENSG00000109971,68,True,4.0,,2.0,0.021930278769924618,1.0528458461634465,False,False,True,,,,,False,False,False
ENSG00000171223,69,True,4.0,,2.0,0.0135741487058817,1.5300894626740125,False,False,True,,,,,False,False,False
ENSG00000130208,70,True,4.0,,2.0,0.008582201572537697,0.9333216856500519,False,False,True,,,,,False,False,False
ENSG00000148671,71,True,4.0,,2.0,0.006729140446440107,0.8971955230119584,False,False,True,,,,,False,False,False
ENSG00000168685,72,True,4.0,,2.0,0.006653562646589193,1.2171046755591415,False,False,True,,,,,False,False,False
ENSG00000185201,73,True,4.0,,2.0,0.006558557940503042,1.2832933516572682,False,False,True,,,,,False,False,False
ENSG00000117984,74,True,4.0,,2.0,0.006175827986254077,0.9469648295145422,False,False,True,,,,,False,False,False
ENSG00000197956,75,True,4.0,,2.0,0.003841462042622757,1.5069421436619646,False,False,True,,,,,False,False,False
ENSG00000065978,76,True,4.0,,2.0,0.0019956385552139457,1.0230812163826009,False,False,True,,,,,False,False,False
ENSG00000173762,77,True,4.0,,2.0,0.0011994628825636186,0.9782567144759623,False,False,True,,,,,False,False,False
ENSG00000111716,78,True,4.0,,2.0,2.4498572678641854e-14,1.0049129074900323,False,False,True,,,,,False,False,False
ENSG00000198695,79,True,4.0,,2.0,7.484595683813914e-16,0.9601590246991512,False,False,True,,,,,False,False,False
ENSG00000160180,80,True,5.0,,3.0,0.003967649243912573,1.0898798257115314,False,False,True,,,,,False,False,False
ENSG00000196154,81,True,5.0,,3.0,4.76051673134309e-15,1.7950061084330144,False,False,True,,,,,False,False,False
ENSG00000132002,82,True,5.0,,3.0,2.912510960722805e-15,1.2414480116607223,False,False,True,,,,,False,False,False
ENSG00000115541,83,True,5.0,,3.0,1.5806070563681718e-15,1.0594191620294393,False,False,True,,,,,False,False,False
ENSG00000135390,84,True,6.0,,4.0,0.03703915931319979,1.119396446806653,False,False,True,,,,,False,False,False
ENSG00000100906,85,True,6.0,,4.0,0.011662423090451719,0.9288770710399162,False,False,True,,,,,False,False,False
ENSG00000240972,86,True,6.0,,4.0,0.00408193316469383,1.1016282325069888,False,False,True,,,,,False,False,False
ENSG00000152518,87,True,6.0,,4.0,0.002490673622797177,1.2793776094768152,False,False,True,,,,,False,False,False
ENSG00000135046,88,True,7.0,,5.0,0.03536610963454858,1.2474270268586682,False,False,True,,,,,False,False,False
ENSG00000158050,89,True,7.0,,5.0,0.003983117538021666,1.0501580453755517,False,False,True,,,,,False,False,False
ENSG00000101608,90,True,7.0,,5.0,1.4661201896647087e-15,1.0942109130949726,False,False,True,,,,,False,False,False
ENSG00000149925,91,True,8.0,,6.0,0.008377854099090504,1.148992467895515,False,False,True,,,,,False,False,False
ENSG00000095794,92,True,8.0,,6.0,1.4758861317724475e-15,1.007830828901541,False,False,True,,,,,False,False,False
ENSG00000211592,93,True,9.0,,7.0,0.03853800689126824,0.901809905286925,False,False,True,Plasma,,Plasma,Plasma,False,False,False
ENSG00000115523,94,True,9.0,,7.0,0.0074148854877842596,1.2712383071153162,False,False,True,,,,,False,False,False
ENSG00000126709,95,True,9.0,,7.0,0.001967693475265073,1.157278142696709,False,False,True,,,,,False,False,False
ENSG00000105374,96,True,9.0,,7.0,0.00106994582148174,1.3131414421718168,False,False,True,,,,,False,False,False
ENSG00000067225,97,True,10.0,,8.0,7.402508964108184e-16,1.0294365455632377,False,False,True,,,,,False,False,False
ENSG00000153563,98,True,11.0,,9.0,1.9530949481111324e-14,0.9887466827537383,False,False,True,,,,,False,False,False
ENSG00000227507,99,True,12.0,,10.0,0.0010078773846793547,0.9823854285743274,False,False,True,,,,,False,False,False
ENSG00000084207,100,True,13.0,,11.0,0.009651284544006914,1.0097654426804399,False,False,True,,,,,False,False,False
ENSG00000164919,101,True,13.0,,11.0,0.003931373327515534,0.9944096627404523,False,False,True,,,,,False,False,False
ENSG00000123416,102,True,13.0,,11.0,0.0018933441473041365,1.0111545034698526,False,False,True,,,,,False,False,False
ENSG00000181617,103,True,14.0,,12.0,0.004207781807472684,0.9086359429949784,False,False,True,,,,,False,False,False
ENSG00000177606,104,True,15.0,,13.0,5.5793094245156185e-15,1.2481737744427002,False,False,True,,,,,False,False,False
ENSG00000156234,105,True,15.0,,13.0,4.593286579543183e-15,0.9322451425022369,False,False,True,,,,,False,False,False
ENSG00000113088,106,True,16.0,,14.0,0.007196118525101585,1.1858110294677773,False,False,True,,,,,False,False,False
ENSG00000187608,107,True,17.0,,15.0,4.8861785987985044e-15,1.0767986584425344,False,False,True,,,,,False,False,False
ENSG00000265972,108,True,18.0,,16.0,0.0,1.0763856227571347,False,False,True,,,,,False,False,False
ENSG00000111669,109,True,18.0,,16.0,0.0,0.99764088482856,False,False,True,,,,,False,False,False
ENSG00000103363,110,True,,,,,0.896870661644105,False,False,False,,,,,False,False,False
ENSG00000198851,111,True,,,,,0.8955370402838272,False,False,False,T,,T,T,False,False,False
ENSG00000067082,112,True,,,,,0.8882350727800347,False,False,False,,,,,False,False,False
ENSG00000164692,113,True,,,,,0.8853531175096699,False,False,False,Fibroblast,,Fibroblast,Fibroblast,False,False,False
ENSG00000124614,114,True,,,,,0.8785158021170483,False,False,False,,Epithelial,Epithelial,Epithelial,False,False,False
ENSG00000111348,115,True,,,,,0.8750238279309795,False,False,False,,,,,False,False,False
ENSG00000185650,116,True,,,,,0.8708135201453274,False,False,False,,B,B,B,False,False,False
ENSG00000186827,117,True,,,,,0.8705777470384881,False,False,False,,,,,False,False,False
ENSG00000160678,118,True,,,,,0.8700704437352587,False,False,False,,,,,False,False,False
ENSG00000272398,119,True,,,,,0.8617825232438775,False,False,False,,,,,False,False,False
ENSG00000164687,120,True,,,,,0.8616049960776099,False,False,False,,,,,False,False,False
ENSG00000113140,121,True,,,,,0.8585489509155695,False,False,False,Fibroblast,,Fibroblast,Fibroblast,False,False,False
ENSG00000090104,122,True,,,,,0.8469906053452257,False,False,False,,,,,False,False,False
ENSG00000026508,123,True,,,,,0.8403245269900135,False,False,False,,,,,False,False,False
ENSG00000241343,124,True,,,,,0.8311841406947268,False,False,False,,,,,False,False,False
ENSG00000181847,125,True,,,,,0.8285384279196033,False,False,False,,,,,False,False,False
ENSG00000186891,126,True,,,,,0.8270957805452511,False,False,False,,,,,False,False,False
ENSG00000089327,127,True,,,,,0.8263852306288957,False,False,False,,,,,False,False,False
ENSG00000173369,128,True,,,,,0.8261066112391081,False,False,False,,Other,Other,Other,False,False,False
ENSG00000011465,129,True,,,,,0.8260231491863463,False,False,False,,Fibroblast,Fibroblast,Fibroblast,False,False,False
ENSG00000107742,130,True,,,,,0.822291631443521,False,False,False,,,,,False,False,False
ENSG00000111057,131,True,,,,,0.8021095281030747,False,False,False,,,,,False,False,False
ENSG00000158710,132,True,,,,,0.8008548176801402,False,False,False,,,,,False,False,False
ENSG00000159189,133,True,,,,,0.7967902545582916,False,False,False,,,,,False,False,False
ENSG00000157514,134,True,,,,,0.7966594245527917,False,False,False,,,,,False,False,False
ENSG00000135919,135,True,,,,,0.7905651552462708,False,False,False,,,,,False,False,False
ENSG00000107796,136,True,,,,,0.7903798951688408,False,False,False,,,,,False,False,False
ENSG00000104894,137,True,,,,,0.7901927260663759,False,False,False,,B,B,B,False,False,False
ENSG00000117450,138,True,,,,,0.7870410081879787,False,False,False,,,,,False,False,False
ENSG00000141753,139,True,,,,,0.7863777345167603,False,False,False,,,,,False,False,False
ENSG00000169908,140,True,,,,,0.7854723854100102,False,False,False,,,,,False,False,False
ENSG00000173372,141,True,,,,,0.784174884802839,False,False,False,,,,,False,False,False
ENSG00000154518,142,True,,,,,0.77929164271368,False,False,False,,,,,False,False,False
ENSG00000167468,143,True,,,,,0.778280956164165,False,False,False,,,,,False,False,False
ENSG00000162511,144,True,,,,,0.7782509561818471,False,False,False,,,,,False,False,False
ENSG00000101335,145,True,,,,,0.7775206868120662,False,False,False,,,,,False,False,False
ENSG00000196405,146,True,,,,,0.7772013951065546,False,False,False,,,,,False,False,False
ENSG00000168209,147,True,,,,,0.7768045118111255,False,False,False,,,,,False,False,False
ENSG00000185664,148,True,,,,,0.7757939945358833,False,False,False,,,,,False,False,False
ENSG00000160862,149,True,,,,,0.7745747491106317,False,False,False,,,,,False,False,False
ENSG00000172543,150,True,,,,,0.7741895597980972,False,False,False,,,,,False,False,False
ENSG00000102879,151,True,,,,,0.7737624482700186,False,False,False,,,,,False,False,False
ENSG00000160213,152,True,,,,,0.7708367121723477,False,False,False,,,,,False,False,False
ENSG00000128340,153,True,,,,,0.7688714423028189,False,False,False,,,,,False,False,False
ENSG00000170421,154,True,,,,,0.7576816907906098,False,False,False,,,,,False,False,False
ENSG00000118503,155,True,,,,,0.7576814300706883,False,False,False,,,,,False,False,False
ENSG00000152583,156,True,,,,,0.7555527674949069,False,False,False,,,,,False,False,False
ENSG00000051523,157,True,,,,,0.7543842677952137,False,False,False,,Other,Other,Other,False,False,False
ENSG00000103187,158,True,,,,,0.7446686674755748,False,False,False,,,,,False,False,False
ENSG00000140416,159,True,,,,,0.7428251851920318,False,False,False,,,,,False,False,False
ENSG00000110848,160,True,,,,,0.7420235855399563,False,False,False,,,,,False,False,False
ENSG00000204257,161,True,,,,,0.7388591353539736,False,False,False,,,,,False,False,False
ENSG00000198467,162,True,,,,,0.7329561029451986,False,False,False,,,,,False,False,False
ENSG00000175899,163,True,,,,,0.7297852039550782,False,False,False,,,,,False,False,False
ENSG00000118785,164,True,,,,,0.7261880646931119,False,False,False,,,,,False,False,False
ENSG00000167642,165,True,,,,,0.7247328801470985,False,False,False,,,,,False,False,False
ENSG00000120885,166,True,,,,,0.7235574263331888,False,False,False,,,,,False,False,False
ENSG00000139329,167,True,,,,,0.7218702503755317,False,False,False,,,,,False,False,False
ENSG00000158869,168,True,,,,,0.7151506464633116,False,False,False,Monocyte/Mac,,Monocyte/Mac,Monocyte/Mac,False,False,False
ENSG00000145423,169,True,,,,,0.7142334011710919,False,False,False,,,,,False,False,False
ENSG00000160307,170,True,,,,,0.711050843189051,False,False,False,,,,,False,False,False
ENSG00000109846,171,True,,,,,0.7106410906175578,False,False,False,,,,,False,False,False
ENSG00000126264,172,True,,,,,0.709047192753368,False,False,False,,,,,False,False,False
ENSG00000139193,173,True,,,,,0.706466440748843,False,False,False,,,,,False,False,False
ENSG00000178980,174,True,,,,,0.7034793066695404,False,False,False,,,,,False,False,False
ENSG00000135480,175,True,,,,,0.6760404129269669,False,False,False,,,,,False,False,False
ENSG00000182492,176,True,,,,,0.6733595290574953,False,False,False,,,,,False,False,False
ENSG00000164932,177,True,,,,,0.6691902298447373,False,False,False,,,,,False,False,False
ENSG00000172116,178,True,,,,,0.6663080259796353,False,False,False,,,,,False,False,False
ENSG00000100450,179,True,,,,,0.6553720377737529,False,False,False,,,,,False,False,False
ENSG00000105369,180,True,,,,,0.6551861915269085,False,False,False,B,,B,B,False,False,False
ENSG00000185633,181,True,,,,,0.651454937647515,False,False,False,,,,,False,False,False
ENSG00000082074,182,True,,,,,0.6514375655867514,False,False,False,,,,,False,False,False
ENSG00000233276,183,True,,,,,0.6501013069071935,False,False,False,,Plasma,Plasma,Plasma,False,False,False
ENSG00000010278,184,True,,,,,0.6409653934290608,False,False,False,,,,,False,False,False
ENSG00000129538,185,True,,,,,0.6379934951213322,False,False,False,,,,,False,False,False
ENSG00000133110,186,True,,,,,0.6354963790390987,False,False,False,,,,,False,False,False
