gene,score
ENSG00000023445,0.9233601451152522
ENSG00000108821,0.8085842151439646
ENSG00000156738,0.7161368142521881
ENSG00000131981,0.49967391130592487
ENSG00000166441,0.46596197148865925
ENSG00000212907,0.4185346077336672
ENSG00000102265,0.39014919159679606
ENSG00000011600,0.30282062674644844
ENSG00000131477,0.21336868855117558
ENSG00000170476,0.18684139398111205
ENSG00000228253,0.18570309114290945
ENSG00000205542,0.13910119939592097
ENSG00000019582,0.1217797828927229
ENSG00000130066,0.05611248655783872
ENSG00000106211,0.046107401555958494
ENSG00000163453,0.03251424632394155
ENSG00000167283,0.5408187347475043
ENSG00000210082,0.43522298575452834
ENSG00000101439,0.33820369880428325
ENSG00000124172,0.25
ENSG00000171345,0.20335392365229393
ENSG00000125534,0.16739410023985105
ENSG00000080824,0.142181732052148
ENSG00000204628,0.12877288392463127
ENSG00000116824,0.10839228363631928
ENSG00000149591,0.10017201725796746
ENSG00000100453,0.0887777311854509
ENSG00000122862,0.04684642732495205
ENSG00000167286,0.03752796575102373
ENSG00000026025,0.03746560459310745
ENSG00000142669,0.025341130604288498
ENSG00000130203,0.024269153037850356
ENSG00000189058,0.022869680377443278
ENSG00000133872,0.021182351702436035
ENSG00000245532,0.015518093414448493
ENSG00000008988,0.015389317313078762
ENSG00000142089,0.015015843761246449
ENSG00000100097,0.014593696899083627
ENSG00000077984,0.01406536282803552
ENSG00000163191,0.013959821075191631
ENSG00000121966,0.01379137592892656
ENSG00000125148,0.013207636088302957
ENSG00000197746,0.012839032028536474
ENSG00000170345,0.009946383523407003
ENSG00000204389,0.008955550076580679
ENSG00000096384,0.008456728546435886
ENSG00000133639,0.008240763932586924
ENSG00000197747,0.006160519146259889
ENSG00000128016,0.005822316405196454
ENSG00000130303,0.0057092448008951155
ENSG00000008517,0.00530513329896525
ENSG00000169442,0.00515453286681999
ENSG00000204592,0.0029819366400314984
ENSG00000115414,0.0026142857890616737
ENSG00000182718,0.0023345876897834816
ENSG00000111341,0.002103772702364441
ENSG00000120129,5.7327455185001056e-15
ENSG00000135404,1.7256063026164776e-15
ENSG00000074800,7.075865103065734e-16
ENSG00000145649,5.115879370717416e-16
ENSG00000177575,
ENSG00000132465,0.18881172260484544
ENSG00000122786,
ENSG00000112149,
ENSG00000173391,
ENSG00000198502,0.023751889425112905
ENSG00000185885,0.02344007773469242
ENSG00000109971,0.021930278769924618
ENSG00000171223,0.0135741487058817
ENSG00000130208,0.008582201572537697
ENSG00000148671,0.006729140446440107
ENSG00000168685,0.006653562646589193
ENSG00000185201,0.006558557940503042
ENSG00000117984,0.006175827986254077
ENSG00000197956,0.003841462042622757
ENSG00000065978,0.0019956385552139457
ENSG00000173762,0.0011994628825636186
ENSG00000111716,2.4498572678641854e-14
ENSG00000198695,7.484595683813914e-16
ENSG00000160180,0.003967649243912573
ENSG00000196154,4.76051673134309e-15
ENSG00000132002,2.912510960722805e-15
ENSG00000115541,1.5806070563681718e-15
ENSG00000135390,0.03703915931319979
ENSG00000100906,0.011662423090451719
ENSG00000240972,0.00408193316469383
ENSG00000152518,0.002490673622797177
ENSG00000135046,0.03536610963454858
ENSG00000158050,0.003983117538021666
ENSG00000101608,1.4661201896647087e-15
ENSG00000149925,0.008377854099090504
ENSG00000095794,1.4758861317724475e-15
ENSG00000211592,0.03853800689126824
ENSG00000115523,0.0074148854877842596
ENSG00000126709,0.001967693475265073
ENSG00000105374,0.00106994582148174
ENSG00000067225,7.402508964108184e-16
ENSG00000153563,1.9530949481111324e-14
ENSG00000227507,0.0010078773846793547
ENSG00000084207,0.009651284544006914
ENSG00000164919,0.003931373327515534
ENSG00000123416,0.0018933441473041365
ENSG00000181617,0.004207781807472684
ENSG00000177606,5.5793094245156185e-15
ENSG00000156234,4.593286579543183e-15
ENSG00000113088,0.007196118525101585
ENSG00000187608,4.8861785987985044e-15
ENSG00000265972,0.0
ENSG00000111669,0.0
ENSG00000103363,
ENSG00000198851,
ENSG00000067082,
ENSG00000164692,
ENSG00000124614,
ENSG00000111348,
ENSG00000185650,
ENSG00000186827,
ENSG00000160678,
ENSG00000272398,
ENSG00000164687,
ENSG00000113140,
ENSG00000090104,
ENSG00000026508,
ENSG00000241343,
ENSG00000181847,
ENSG00000186891,
ENSG00000089327,
ENSG00000173369,
ENSG00000011465,
ENSG00000107742,
ENSG00000111057,
ENSG00000158710,
ENSG00000159189,
ENSG00000157514,
ENSG00000135919,
ENSG00000107796,
ENSG00000104894,
ENSG00000117450,
ENSG00000141753,
ENSG00000169908,
ENSG00000173372,
ENSG00000154518,
