gene,score
ENSG00000175899,1.0
ENSG00000205002,1.0
ENSG00000124172,1.0
ENSG00000153064,1.0
ENSG00000132965,1.0
ENSG00000129151,1.0
ENSG00000133639,1.0
ENSG00000106819,1.0
ENSG00000178372,1.0
ENSG00000178363,1.0
ENSG00000145692,1.0
ENSG00000105141,1.0
ENSG00000176919,1.0
ENSG00000165810,1.0
ENSG00000188820,1.0
ENSG00000178776,1.0
ENSG00000139352,1.0
ENSG00000149925,1.0
ENSG00000064989,1.0
ENSG00000106624,1.0
ENSG00000162618,1.0
ENSG00000151632,1.0
ENSG00000105974,1.0
ENSG00000204472,1.0
ENSG00000101425,1.0
ENSG00000167772,1.0
ENSG00000177469,1.0
ENSG00000106927,1.0
ENSG00000148513,1.0
ENSG00000107159,1.0
ENSG00000240583,1.0
ENSG00000069122,1.0
ENSG00000183747,1.0
ENSG00000132703,1.0
ENSG00000066813,1.0
ENSG00000182492,1.0
ENSG00000109321,1.0
ENSG00000133169,1.0
ENSG00000130203,1.0
ENSG00000130208,1.0
ENSG00000154518,1.0
ENSG00000145192,1.0
ENSG00000198520,1.0
ENSG00000110245,1.0
ENSG00000118137,1.0
ENSG00000107796,1.0
ENSG00000148671,1.0
ENSG00000122786,1.0
ENSG00000135390,1.0
ENSG00000159753,1.0
ENSG00000111348,1.0
ENSG00000182718,1.0
ENSG00000168497,1.0
ENSG00000163017,1.0
ENSG00000058404,1.0
ENSG00000140379,1.0
ENSG00000112936,1.0
ENSG00000179088,1.0
ENSG00000157766,1.0
ENSG00000135046,1.0
ENSG00000106541,1.0
ENSG00000173467,1.0
ENSG00000125730,1.0
ENSG00000134817,1.0
ENSG00000182326,1.0
ENSG00000196616,1.0
ENSG00000163631,1.0
ENSG00000160862,1.0
ENSG00000167283,1.0
ENSG00000161798,1.0
ENSG00000091583,1.0
ENSG00000167434,1.0
ENSG00000130173,1.0
ENSG00000189058,1.0
ENSG00000134028,1.0
ENSG00000166920,1.0
ENSG00000023445,1.0
ENSG00000162482,1.0
ENSG00000143110,1.0
ENSG00000173372,1.0
ENSG00000159189,1.0
ENSG00000173369,1.0
ENSG00000246228,1.0
ENSG00000213088,1.0
ENSG00000123838,1.0
ENSG00000158874,1.0
ENSG00000077984,1.0
ENSG00000125868,1.0
ENSG00000169508,1.0
ENSG00000121742,1.0
ENSG00000101439,1.0
ENSG00000124205,1.0
ENSG00000176435,1.0
ENSG00000131055,1.0
ENSG00000134760,1.0
ENSG00000107984,1.0
ENSG00000160282,1.0
ENSG00000142156,1.0
ENSG00000080166,1.0
ENSG00000134873,1.0
ENSG00000134871,1.0
ENSG00000100604,1.0
ENSG00000113088,1.0
ENSG00000186810,1.0
ENSG00000142173,1.0
ENSG00000148702,1.0
ENSG00000160213,1.0
ENSG00000100867,1.0
ENSG00000187498,1.0
ENSG00000164400,1.0
ENSG00000103187,1.0
ENSG00000184697,1.0
ENSG00000128242,1.0
ENSG00000135218,1.0
ENSG00000099958,1.0
ENSG00000145649,1.0
ENSG00000134443,1.0
ENSG00000272398,1.0
ENSG00000164035,1.0
ENSG00000129226,1.0
ENSG00000126759,1.0
ENSG00000069482,1.0
ENSG00000164434,1.0
ENSG00000177455,1.0
ENSG00000184113,1.0
ENSG00000123500,1.0
ENSG00000168209,1.0
ENSG00000109943,1.0
ENSG00000147138,1.0
ENSG00000198643,1.0
